,title,author,text,link_url
0,너와 함께라면 인생도 여행이다,나태주,"풀꽃 시인 나태주 등단 50주년 기념 신작 시집‘자세히 보아야 예쁘다/오래 보아야 사랑스럽다/너도 그렇다’ 단 세 구절로 수많은 독자들의 사랑을 받은 「풀꽃」의 나태주 시인이 새 시집을 낸다. 시인이 그동안 써온 시들을 엄선하여 독자들에게 건넬 만한 온전한 진심을 추려낸 결과물이다. 더구나 이번 시집은 시인의 50년 시력을 기념하는 시집이라서 더더욱 뜻깊다. 여기에 따뜻한 터치로 자연의 미묘한 색감과 생명력을 표현해오고 있는 중국 출신의 세계적인 일러스트레이터 오아물 루(Oamul Lu)의 작품이 표지 전체를 감싸며 독자들의 시선을 잡아끈다. 서정성 짙은 오아물 루의 그림은 시인의 따사롭고 아늑한 감성적인 시 세계로 독자들을 한껏 끌어당긴다.1971년 [서울신문] 신춘문예에 시 「대숲 아래서」가 당선되고 작품 활동을 시작했으니, 2020년은 시인이 등단한 지 햇수로 꼬박 오십 년째다. 그의 오십 년 창작 생활이 저 세 구절로 다 형용하기 힘들 정도로 길고 깊다는 것이 절실히 느껴진다. 이번 시집은 1부 신작 시 100편, 2부 독자들이 사랑하는 애송 시(대표 시) 49편, 3부 나태주 시인이 사랑하는 시 65편으로 구성됐다. 사람들의 가슴에 선명하게 새겨지는 그의 시가 이번에는 반세기의 내공을 함축하여 시와 삶을 모두 훑는 놀라운 감동을 선사한다.등단 오십 년에 맞춰 발간하는 시집이라서일까. 유달리 더 담백하면서도 더 농밀한 시어들이 가득하다. 나태주 시인 특유의 천진난만하고 순진무구한 목소리가 그대로 배어나는 동시에 웅숭깊은 통찰이 담겨 있다. 무엇보다 중요한 것은 사랑하는 사소한 것들에 대한 끈끈한 애정과 애착이 묻어난다는 것이다. 사랑하는 사람을 보살피고 나 자신을 돌아보게 하는 겸손한 긍정과 겸허한 감성이 그의 시 세계 곳곳에 별자리처럼 수놓아져 있다.          ",http://www.yes24.com/Product/Goods/84907795
1,최선의 삶,임솔아,"형용사나 부사 없이 그저 움직이는, 동사의 세계 제4회 문학동네 대학소설상 수상자 임솔아는 2013년 중앙신인문학상을 수상하며 활발히 활동하고 있는 바로 그 시인이다. 이미 시인으로서 인지도를 쌓고 자신만의 시세계를 구축해가고 있던 임솔아가 다시 신인으로 되돌아가는 모험을 감행하면서까지 써내고 싶었던 것은 무엇일까. 오직 소설이라는 형식으로만 온전히 담아낼 수 있었던 이 이야기는 열여섯 살 이후로 끈질기게 작가를 찾아왔던 악몽에 관한 것이다. 가족과 학교에 대한 불신, 친구를 향한 배신감을 빨아들이며 성장한 인물이 친구를 찾아가 살해하려는 꿈. 물론 이런 서사는 우리에게 이미 익숙한 이야기일지도 모른다. 하지만 『최선의 삶』은 가출 청소년이자 학교폭력 피해자인 한 인물의 삶을 지극히 사실적으로 그려내면서 개성적인 인상을 각인시키는 데까지 나아간다.           ",http://www.yes24.com/Product/Goods/19123521
2,연어,안도현,"안도현 시인의 어른을 위한 동화 『연어』 100만 부 돌파1996년 3월에 첫 출간돼 20여 년이 넘도록 스테디셀러의 자리를 굳건히 지켜온 안도현 시인의 어른을 위한 동화 『연어』가 100만 부 판매를 넘어섰다. 한 권의 책이 성인의 나이에 이르도록 전 세대에 걸쳐 꾸준한 사랑을 받는다는 것은 매우 희귀한 일이 아닐 수 없다. 『연어』는 2007년에 100쇄를 출간하고 139쇄에 이른 지금, 100만 부 판매를 넘어서며 밀리언셀러의 반열에 오르게 되었다.           ",http://www.yes24.com/Product/Goods/2593294
3,고양이 1,베르나르 베르베르,"베르베르가 이번에는 고양이의 눈으로 인간의 미래를 바라본다 예스24 독자가 선정한 '한국인이 사랑하는 세계 작가' 1위, 베르나르 베르베르의 신작 장편소설 『고양이』(전2권)가 전문 번역가 전미연 씨의 번역으로 열린책들에서 출간되었다. 『고양이』는 제목 그대로 주인공인 고양이의 시각에서 인간의 문명을 바라보는 작품으로, 프랑스에서는 작년 한국에서도 베스트셀러가 되었던 『잠』보다 높은 인기를 누렸다(프랑스에서 현재까지 30만 부 판매). 파리에서 살고 있는 암고양이 바스테트. 그녀는 ‘집사’가 틀어 놓은 TV 화면과 점점 잦아지는 골목길의 총성을 통해 그동안 당연시하던 안락한 일상이 조금씩 무너지고 있음을 감지하게 된다. 이 무렵 바스테트는 옆집에 이사 온, 어떤 이유에선지 인간 세계에 대해 ‘너무 많이 아는’ 고양이 피타고라스와 친구가 되는데…….  인간이 상상하기 어려운 타자의 시각을 도입하여, 인간 중심주의를 해체하고 이 지구에서 인간이 차지해야 할 적절한 위치를 끊임없이 고민해 온 베르베르의 작업은 이미 첫 번째 작품인 『개미』에서부터 시작된 것이지만, 이번 『고양이』에서는 그 문제의식이 그동안 좀 더 성숙해지고 발전해 왔음을 알게 된다. 베르베르가 보기에, 이 지구상의 생물종들과의 대화는 필요하다. 단지 인간의 어떤 흥밋거리나 지식의 확장을 위해서가 아니라, 인간이 전쟁과 테러 등 자기 파괴적인 경로에서 벗어날 수 있는 해답이 여기에 있기 때문이다. 무거운 주제를 경쾌하게 다룰 줄 알고, 과학과 철학, 그리고 역사의 에피소드들을 유머러스하게 버무리는 베르베르의 솜씨는 여전하다.  남성이 아닌 여성을 화자로 내세워 책 전체에서 남성 중심의 세계관과 ‘수컷의 어리석음’을 신랄하게 조롱하고 있는 점도 눈에 띈다. 번역자인 전미연 씨는 후기에서 길고양이를 돌보는 ‘캣맘’으로서 본인에게 이 소설은 각별한 만족을 주었으며, 베르베르가 암고양이 주인공을 그리며 보여 준 깊은 이해에 매료되었다고 쓰고 있다.  원제는 ‘Demain les chats’. [내일은 고양이]라는 뜻이다. 미래는 고양이에게 있다는 뜻으로 읽힌다. 다른 한편으로는, 작가 자신이 이제까지는 <개미의 작가>로 기억되었다면 앞으로는 [고양이]가 자신의 트레이드마크가 되기를 바란다는 유머러스한 표현일 수도 있다. 실제로 프랑스 언론에서는 그런 뜻으로 받아들이기도 했다.  ",http://www.yes24.com/Product/Goods/60896840
4,"필사의 힘 : 생텍쥐페리처럼, 어린 왕자 따라쓰기 ",앙투안 드 생텍쥐페리,"지친 마음을 치유하고 문장력까지 길러 주는 필사 라이팅북연필이나 펜으로 내가 꼭 써 보고 싶었던 명작을 나만의 작품으로 만들 수 있는 책소설가 어니스트 헤밍웨이는 ‘지금 당장 필사하라.’라며 필사가 얼마나 중요한지를 한마디로 표현했고, 시인 안도현은 ‘필사는 손가락 끝으로 고추장을 찍어 먹어 보는 맛.’이라고 표현했다.이렇듯 필사에 대한 저명한 문인들의 찬사는 과연 어떤 이유에서 비롯된 것일까? 그것은 필사가 그저 단순한 따라 쓰기에 머무르지 않는다는 것을 뜻한다. 자신의 손으로 직접 문장을 써 내려가는 행위를 통해 문장을 읽을 때와는 전혀 다른 차원에서 더 깊이 이해하고 공감할 수 있기 때문이다. 즉, 문장을 써 내려가며 자신이 독자가 아니라 저자가 된 것과 다름없는 기분을 마음껏 누릴 수 있는 것이다. 그렇게 첫 문장부터 마지막 문장까지 한 권의 책을 모두 쓰고 나면 그 책은 오직 당신만을 위한 책이 된다. 당신의 글씨체로 쓴, 당신이 쓴 문장부호로 수놓은 그 문장들로 가득한 책 말이다.    첫 번째 책으로 전 세계인들이 가장 사랑하고 꼭 써 보고 싶은 생텍쥐페리의 어린 왕자를 만나 보자. 생텍쥐페리의 문장을 가만히 곱씹으며 따라 쓰다 보면 작가가 어떤 마음으로 그와 같이 뛰어난 문장을 쓰게 되었는지 이해할 수 있을 것이다. 한 문장, 한 문장 차분하게 생텍쥐페리의 문장을 탐미해 가며 힐링해 보자. 감성 치유뿐만 아니라 예전과는 다른 수준의 문장력을 키울 수 있는 소중한 시간을 보내게 될 것이다.          ",http://www.yes24.com/Product/Goods/18732156
5,죄와 벌 2,표도르 도스토예프스키,"러시아의 대문호 도스토예프스키가 8년간의 유형 후 발표한 대작이성의 광기 속으로 침잠하는 자폐적 인간, 고뇌하는 청춘의 전형 ‘라스콜니코프’를 창조해 냄으로써 20세기 문학, 철학, 심리학에 하나의 ‘사건’으로 기록된 소설러시아의 대문호 표도르 도스토예프스키의 『죄와 벌』(전 2권)이 민음사 세계문학전집으로 출간되었다. 『죄와 벌』은 도스토예프스키가 사형선고에 이은 8년간의 유형 생활 후 두 번째로 발표한 작품이다. 전작 『지하로부터의 수기』에서 싹튼 새로운 ‘인물 유형’과 소설 기법이 바로 이 소설에서 만개하여, 인간의 가장 깊은 곳에 숨겨진 심리가 낱낱이 파헤쳐진다. 작가 스스로 『죄와 벌』은 “범죄에 대한 심리학적 보고서”라고 밝혔듯, 죄와 속죄에 대한 다양한 인식들이 팽팽하게 갈등하고 교차한다. 이 소설은 도스토예프스키가 작가로서의 성숙기에 정점을 찍을 수 있게 했고, 또한 조이스, 헤밍웨이, 고리키, 버지니아 울프, 토마스 만, 헨리 밀러, D. H. 로렌스를 비롯한 위대한 작가들에게 커다란 영감을 주었다.          ",http://www.yes24.com/Product/Goods/6713010
6,해리포터와 불의 잔 2,J.K. 롤링,"해리 포터 세대의, 해리 포터 세대를 위한, 해리 포터 세대에 의한 새 번역!‘21세기 대표 아이콘’에 걸맞은 완성도 높은 작품으로 재탄생하다!1997년 영국에서 출간된 이래 『해리 포터』 시리즈는 지금까지 200개국 이상 80개의 언어로 번역되고 출간되어 5억 부 이상을 판매했다. 국내에서도 1999년 『해리 포터와 마법사의 돌』의 출간을 필두로 지금까지 약 1,500만 부가 판매되었으며, 현재에도 독자들에게 변함없는 사랑을 받고 있다. 이 시리즈는 여덟 편의 영화로도 제작되어 전 세계 곳곳에서 흥행을 거두었고, 영화와 관련된 새로운 도서가 출간되고 테마 파크가 조성되는 등 놀라운 기현상을 빚어냈다. 뿐만 아니라 『해리 포터』 시리즈에서 또 다른 작품들이 문화상품으로 파생되어 지금도 꾸준히 독자들을 만나고 있다. ‘해리 포터’의 다음 세대인 자녀들의 이야기를 다룬 『해리 포터와 저주 받은 아이』는 시나리오로 출간된 이후 연극으로 만들어져 영국을 시작으로 미국, 호주, 독일, 캐나다 등 세계 곳곳에서 열띤 호응을 얻으며 공연 중이고, 『해리 포터』의 세계관이 확장된 『신비한 동물 사전』 시리즈는 계속해서 영화로 제작되고 있다. 이제 『해리 포터』는 소설이라는 단순한 문학 장르에 머무르지 않고 ‘21세기를 대표하는 시대의 아이콘’으로 불리며 일종의 사회문화 현상으로 받아들여지고 있다. 20주년을 맞아 새롭게 출간한 『해리 포터』 시리즈는 ‘21세기 고전’이라 불릴 만한 품격에 맞춰 작품의 완성도를 높였다. 7권 『해리 포터와 죽음의 성물』로 완간된 기존의 『해리 포터』 시리즈는 빈틈없는 소설적 구성과 생생한 캐릭터 그리고 마법 세계를 정교하게 묘사하며 풍부한 상상력이 돋보이면서도 정밀한 세계관을 구축해 나갔다. 하지만 지금까지 출간된 책들은 J.K. 롤링이 펼쳐 나가는 판타지 세계의 규모가 어느 정도이며 그 속에 어떠한 소설적 장치를 심어 놓았는지 알 수 없는 상태에서 번역 작업이 이루어졌다. 또한 1~7편 모두 완결성을 갖추었지만, 시리즈의 특성상 편과 편을 이어 주며 작품 전체를 관통하는 서사의 개연성과 완결성은 마지막 편이 출간된 이후에나 파악할 수밖에 없었다. 그러다 보니 작가가 어느 장면에 복선을 깔아 두었고, 어느 장면이 작가가 창조한 세계관을 이해하는 중요한 역할을 하는지 의미를 파악하며 번역하기에는 한계가 있었다.이번에 선보이는 『해리 포터』 시리즈에는 J.K. 롤링이 작품 속에 이룩해놓은 문학적 성취가 완벽하게 구현되어 있다. 복선과 반전을 선사하는 문학적 장치들을 보다 정교하고 세련되게 다듬었으며, 인물들 사이의 관계나 그들의 숨겨진 비밀 그리고 성격이 도드라지는 말투의 미세한 뉘앙스까지 점검했다. 『해리 포터』의 세계에 처음 발을 들여놓는 독자는 물론, 그동안 『해리 포터』의 세계를 즐겨 찾아왔던 독자 모두에게 완성도 높은 만족과 감동을 선사할 것이다.          ",http://www.yes24.com/Product/Goods/82941509
7,돈키호테 1,미겔 데 세르반테스,"국내 최초 『돈키호테』 살바도르 달리 에디션 출간살바도르 달리의 컬러+흑백 삽화 54점 수록『돈키호테』 살바도르 달리 에디션은 최초의 근대소설이자 세계문학사상 가장 위대한 작품 『돈키호테』와 20세기 초현실주의 미술의 거장 살바도르 달리의 컬래버레이션이다. 『돈키호테 1』의 삽화들은 1946년 미국 랜덤하우스 출판사에서 출간된 『명성이 자자한 라만차의 돈키호테의 일생과 업적 제1부』에 실렸던 작품들로, 컬러 수채화 10점과 드로잉 32점을 포함한다. 『돈키호테 2』의 삽화들은 1957년 프랑스 파리의 미술전문 출판인 조셉 포레가 출간한 『라만차의 돈키호테』에 실린 것으로, 달리가 직접 제작한 12점의 석판화 작품들이다. 세계문학사상 가장 기상천외하고 독보적인 캐릭터 돈키호테, 그리고 “나와 광인의 유일한 차이는 내가 미치지 않았다는 것뿐이다”를 모토로 자신만의 예술 세계를 구축한 살바도르 달리가 만나 극대화된 환상과 독창적인 이미지를 만들어낸다. 파격적인 작품과 기행으로 세간의 주목을 받았던 현대판 돈키호테 살바도르 달리가 재해석해낸 『돈키호테』 살바도르 달리 에디션은 전 세계에 출간된 『돈키호테』 판본들 중 가장 특별하고 가장 ‘돈키호테’다운 판본이 될 것이다.          ",http://www.yes24.com/Product/Goods/101545983
8,고백,미나토 가나에,"현재진행형의 신화! 350만 독자를 사로잡은 대형 베스트셀러 한국어판 출판 10주년을 기념하여 새롭게 선보이는 『고백』‘십 년에 한 번 나올까 말까 한 작가’ ‘인간의 마음을 소름 끼치도록 해부하는 작가’라는 평단의 호평과 더불어, 발표하는 작품마다 일본은 물론 한국에서도 베스트셀러를 기록하며 독자들에게 사랑받는 미나토 가나에. 그의 강렬한 데뷔작 『고백』은 “내 딸을 죽인 사람은 바로 우리 반에 있습니다”라는 충격적인 고백과 함께 범인인 열세 살의 중학생들에게 믿을 수 없는 가혹한 복수를 실행하는 어느 선생님의 이야기를 담은 소설이다. 촉법소년 범죄, 등교거부, 왕따, 사적복수, 에이즈, 미혼모, 존속살해 등 어느 작품보다 충격적인 화두로 출간 즉시 뜨거운 논란을 불러 일으켰고, 직설적인 화법과 섬세한 심리묘사, 엄청난 몰입도와 속도감을 자랑하며 각종 미스터리 차트를 석권, 지금까지도 꾸준히 독자들의 사랑을 받고 있다. 비채에서는 한국어판 출간 10주년을 기념하여 세심하게 번역을 다듬고, 세련된 디자인과 한결 가벼운 장정으로 독서의 맛을 배가한 개정판을 선보인다. 『고백』의 번역가 김선영은 10년 만에 새 옷을 갈아입는 개정판을 준비하며 “10년이면 강산도 변한다는 속담이 있지만, 세월도 『고백』의 재미는 비껴가는 것 같습니다. 앞으로 10년, 20년 후에도 여전히 빛나는 작품으로 남을 것이라 믿어 의심치 않습니다”라고 귀띔한다.           ",http://www.yes24.com/Product/Goods/3563528
9,톨스토이 단편선,레프 톨스토이,"세계적 문호 톨스토이의 단편 모음집. 톨스토이의 인생관, 철학이 담겨져 있는 대표 단편작 '사람은 무엇으로 사는가' 외 '바보 이반의 이야기', '사람에겐 얼마만큼의 땅이 필요한가' 등의 작품이 수록되어 있다.           ",http://www.yes24.com/Product/Goods/1938956
