title,text,link_url
범죄도시2,"가리봉동 소탕작전 후 4년 뒤, 금천서 강력반은 베트남으로 도주한 용의자를 인도받아 오라는 미션을 받는다. 괴물형사 ‘마석도’(마동석)와 ‘전일만’(최귀화) 반장은 현지 용의자에게서 수상함을 느끼고, 그의 뒤에 무자비한 악행을 벌이는 ‘강해상’(손석구)이 있음을 알게 된다. ‘마석도’와 금천서 강력반은 한국과 베트남을 오가며 역대급 범죄를 저지르는 ‘강해상’을 본격적으로 쫓기 시작하는데... 나쁜 놈들 잡는 데 국경 없다! 통쾌하고 화끈한 범죄 소탕 작전이 다시 펼쳐진다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=192608
씽2게더,"대국민 오디션 이후 각자의 자리에서 꿈을 이루고 있는 버스터 문(매튜 맥커너히)과 크루들에게 레드 쇼어 시티에서 전 세계가 주목하는 사상 최고의 쇼가 펼쳐진다는 소식이 들려오고 버스터 문과 크루들은 도전에 나선다.  그러나 최고의 스테이지에 서기 위한 경쟁은 이전과는 비교도 할 수 없을 만큼 치열하고, 버스터 문은 완벽한 라이브를 위해 종적을 감춘 레전드 뮤지션 클레이(보노)를 캐스팅하겠다는 파격 선언을 하는데!",https://movie.naver.com/movie/bi/mi/basic.naver?code=187320
극장판 귀멸의 칼날: 무한열차편,"혈귀로 변한 여동생 ‘네즈코’를 되돌리기 위해 귀살대가 된 ‘탄지로’!  어둠 속을 달리는 무한열차에서 승객들이 흔적 없이 사라진다는 소식에 ‘젠이츠’, ‘이노스케’와 함께 임무 수행을 위해 무한열차에 탑승한다. 그리고 그 곳에서 만난 귀살대 최강 검사 염주 ‘렌고쿠’!  이들은 무한열차에 숨어 있는 혈귀의 존재를 직감하고 모두를 구하기 위해 목숨을 건 혈전을 시작하는데…  그 칼로 악몽을 끊어라!",https://movie.naver.com/movie/bi/mi/basic.naver?code=196051
극장판 주술회전 0,"어릴 적 소꿉친구인 오리모토 리카를 교통사고로 눈앞에서 잃은 옷코츠 유타.  “약속해, 리카와 유타는 어른이 되면 결혼하기로” 옷코츠는 원령으로 변한 리카의 저주에 괴로워한 나머지, 자신도 죽기를 바라지만 최강의 주술사인 고죠 사토루에 의해 주술고전에 들어가게 된다. 그리고 동급생인 젠인 마키, 이누마키 토게, 판다를 만나면서 굳은 결심을 한다.  “살아도 된다는 자신감이 필요해” “나는 주술고전에서 리카의 저주를 풀겠습니다” 한편, 옷코츠와 친구들 앞에 과거에 일반인을 대량으로 학살해서 고전에서 추방된 최악의 주저사인 게토 스구루가 나타난다.  “12월 24일, 우리는 백귀야행을 결행한다” 주술사만의 낙원을 만들려는 게토는 비술사를 섬멸하겠다면서, 신주쿠와 교토에 천의 저주를 내리는데…과연 옷코츠는 게토를 막을 수 있을까? 그리고 리카의 저주를 풀 수 있을까?",https://movie.naver.com/movie/bi/mi/basic.naver?code=213733
기적,"오갈 수 있는 길은 기찻길밖에 없지만 정작 기차역은 없는 마을. 오늘부로 청와대에 딱 54번째 편지를 보낸 ‘준경’(박정민)의 목표는 단 하나! 바로 마을에 기차역이 생기는 것이다. 기차역은 어림없다는 원칙주의 기관사 아버지 ‘태윤’(이성민)의 반대에도 누나 ‘보경’(이수경)과 마을에 남는 걸 고집하며 왕복 5시간 통학길을 오가는 ‘준경’. 그의 엉뚱함 속 비범함을 단번에 알아본 자칭 뮤즈 ‘라희’(임윤아)와 함께 설득력 있는 편지쓰기를 위한 맞춤법 수업, 유명세를 얻기 위한 장학퀴즈 테스트, 대통령배 수학경시대회 응시까지! 오로지 기차역을 짓기 위한 ‘준경’만의 노력은 계속되는데...! 포기란 없다 기차가 서는 그날까지!",https://movie.naver.com/movie/bi/mi/basic.naver?code=199860
벤허,"서기 26년, 로마 제국 시대 ‘유다 벤허’(찰스 헤스톤)는 예루살렘의 제일 가는 유태 귀족이다.  어느 날, 로마의 지배하에 있던 이스라엘에 새로운 총독이 부임해오고,  그를 보좌하는 주둔 사령관으로 벤허의 옛 친구인 멧살라(스티븐 보이드)가 임명된다.  그러나, 어린 시절과는 달리 로마와 이스라엘이라는 적대적인 상황에 의해 둘 사이의 우정에 금이 가게 되고,  신임 총독의 부임 축하 행진 중 벤허의 여동생 티자(캐시 오도녤)의 실수로 총독이 부상을 당하는 사건이 발생한다.  멧살라는 유다의 계획적인 범행으로 몰아 벤허 가족을 잡아들이고,  벤허는 모든 것을 잃은 채 노예로 팔려가게 되는데……",https://movie.naver.com/movie/bi/mi/basic.naver?code=10058
해피 투게더,홍콩을 떠나 지구 반대편 부에노스아이레스에 온 ‘보영’과 ‘아휘’ 이과수 폭포를 찾아가던 중 두 사람은 사소한 다툼 끝에 이별하고 각자의 길을 떠난다.  얼마 후 상처투성이로 ‘아휘’의 앞에 다시 나타난 ‘보영’은 무작정 “다시 시작하자”고 말한다. 서로를 위로하며 점차 행복한 시간을 보내는 두 사람.  하지만 ‘보영’의 변심이 두려운 ‘아휘’와 ‘아휘’의 구속이 견디기 힘든 ‘보영’은 또다시 서로의 마음에 상처 내는 말을 내뱉은 뒤 헤어지는데...,https://movie.naver.com/movie/bi/mi/basic.naver?code=19335
코다,24/7 함께 시간을 보내며 소리를 들을 수 없는 가족을 세상과 연결하는 코다 '루비'는 짝사랑하는 '마일스'를 따라간 합창단에서 노래하는 기쁨과 숨겨진 재능을 알게 된다. 합창단 선생님의 도움으로 마일스와의 듀엣 콘서트와 버클리 음대 오디션의 기회까지 얻지만 자신 없이는 어려움을 겪게 될 가족과 노래를 향한 꿈 사이에서 루비는 망설이는데…,https://movie.naver.com/movie/bi/mi/basic.naver?code=201073
피의 연대기,"한 달에 한 번, 일 년에 12번, 살아가면서 적어도 400번… 귀찮은 ‘그날’의 이름은 대자연, 마법, 반상회 = ‘생리’! ‘여성의 몸’과 ‘생리’에 관한 범시대적, 범세계적 탐구다큐.",https://movie.naver.com/movie/bi/mi/basic.naver?code=164104
중경삼림,"1994년 홍콩,  “내 사랑의 유통기한은 만 년으로 하고 싶다” 만우절의 이별 통보가 거짓말이길 바라며 술집을 찾은 경찰 223 고단한 하루를 보내고 술집에 들어온 금발머리의 마약밀매상  ""그녀가 떠난 후 이 방의 모든 것들이 슬퍼한다"" 여자친구가 남긴 이별 편지를 외면하고 있는 경찰 663 편지 속에 담긴 그의 아파트 열쇠를 손에 쥔 단골집 점원 페이  네 사람이 만들어낸 두 개의 로맨스 새로운 사랑을 만나는 방법에 대한 독특한 상상력",https://movie.naver.com/movie/bi/mi/basic.naver?code=17059
화양연화,"화양연화花樣年華 가장 아름답고 찬란했던 시절  같은 날 같은 아파트로 이사 온 ‘첸 부인’과 ‘차우’. 이사 첫날부터 자주 마주치던 두 사람은 ‘차우’의 넥타이와 ‘첸 부인’의 가방이 각자 배우자의 것과 똑같음을 깨닫고 그들의 관계를 눈치챈다.  그 관계의 시작이 궁금해진 두 사람은 비밀스러운 만남을 이어가고 감정이 깊어지지 않기 위해 노력하지만, 서로에게 점점 빠져들기 시작한다. ""많은 일이 나도 모르게 시작되죠""",https://movie.naver.com/movie/bi/mi/basic.naver?code=28876
아메리칸 셰프,"일류 레스토랑의 셰프 칼 캐스퍼는 레스토랑 오너에게 메뉴 결정권을 뺏긴 후 유명음식평론가의 혹평을 받자 홧김에 트위터로 욕설을 보낸다. 이들의 썰전은 온라인 핫이슈로 등극하고 칼은 레스토랑을 그만두기에 이른다. 아무것도 남지 않은 그는 쿠바 샌드위치 푸드트럭에 도전, 그 동안 소원했던 아들과 미국 전역을 일주하던 중 문제의 평론가가 푸드트럭에 다시 찾아오는데… 과연 칼은 셰프로서의 명예를 되찾을 수 있을까?",https://movie.naver.com/movie/bi/mi/basic.naver?code=109920
바닷마을 다이어리,"조그마한 바닷가 마을 카마쿠라에 살고 있는 ‘사치’, ‘요시노’, ‘치카’는 15년 전 집을 떠난 아버지의 부고를 듣고 장례식장으로 향한다. 아버지에 대한 미움도, 추억도 어느덧 희미해졌지만 홀로 남겨진 이복 여동생 ‘스즈’에게만은 왠지 마음이 쓰이는데.. “스즈, 우리랑 같이 살래? 넷이서…”  <그렇게 아버지가 된다> 고레에다 히로카즈 감독이 그려낸 문득, 세상이 아름답게 보이는 순간들 <바닷마을 다이어리> 2015년, 올해의 영화가 찾아옵니다.",https://movie.naver.com/movie/bi/mi/basic.naver?code=132610
배드 가이즈,"작전 설계부터 금고 해제, 해킹, 액션, 위장까지  완벽한 팀플레이를 펼치는 자타공인 최고의 나쁜 녀석들이 한순간의 실수로 체포된다.   하지만 그들도 착해질 수 있다는 ‘마멀레이드 박사’의 주장으로 나쁜 녀석들은 바른 생활 갓생 프로젝트에 투입되고,  이들은 다시 한번 자유의 몸을 위해 태어나 처음으로 바른 생활에 도전하게 되는데…   나쁜 녀석들의 사상 초유 바른 생활 갓생 프로젝트가 시작된다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=196047
세자매,"“언니가 늘 기도하는거 알지?” 완벽한 척하는 가식덩어리 둘째 ‘미연’(문소리) “내가 미안하다” 괜찮은 척하는 소심덩어리 첫째 ‘희숙’(김선영) “나는 쓰레기야” 안 취한 척하는 골칫덩어리 셋째 ‘미옥’(장윤주) 각자 아무렇지 않은 척 살아가던 세 자매는 아버지 생일을 맞아 오랜만에 한 자리에 모이는데...  내 부모에게 진정한 사과를 받고 싶었던, 문제적 자매들이 폭발한다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=193328
걸어도 걸어도,"햇볕이 따갑던 어느 여름 날, 바다에 놀러 간 준페이는 물에 빠진 어린 소년 요시오를 구하기 위해 바다에 뛰어 든다. 그로부터 10여 년 후. 각자 가정을 꾸린 준페이의 동생들 료타와 지나미는 매년 여름 가족들과 함께 고향집으로 향한다. 다시 올 수 없는 단 한 사람, 준페이를 기리기 위해… 그리고 그 자리에 초대받는 또 한 사람, 요시오 역시 매년 준페이의 집을 방문한다. 그 해 여름 역시 준페이의 기일을 맞아 모인 가족들로 왁자지껄한 하루가 흘러갈 무렵… 요시오, 그만 와도 되지 않아요? 차남 료타는 어머니에게 이제 그만 요시오를 놓아줘도 되지 않냐는 말을 넌지시 건네고, 엄마는 그런 료타의 질문에 지난 10여 년간 숨겨왔던 진심을 쏟아내는데…",https://movie.naver.com/movie/bi/mi/basic.naver?code=50749
라라랜드,"꿈을 꾸는 사람들을 위한 별들의 도시 ‘라라랜드’. 재즈 피아니스트 ‘세바스찬’(라이언 고슬링)과 배우 지망생 ‘미아’(엠마 스톤), 인생에서 가장 빛나는 순간 만난 두 사람은 미완성인 서로의 무대를 만들어가기 시작한다.",https://movie.naver.com/movie/bi/mi/basic.naver?code=134963
공기살인,"봄이 되면 나타났다 여름이 되면 사라지는 죽음의 병. 공기를 타고 대한민국에 죽음을 몰고 온 살인무기의 실체를 밝히기 위한 그들의 사투. 증발된 범인, 피해자는 증발되지 않았다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=196362
나쁜 교육,"감독이 된 엔리케(펠레 마르티네즈) 앞에 어린 시절, 신학교 친구 이나시오(가엘 가르시아 베르날)가 나타난다.  재회한 기쁨도 잠시, 이나시오는 어릴 적 자신들에게 '나쁜 교육'을 행한 마놀로 신부를 향한 증오와 복수, 음모와 살인에 관해 쓴 <방문객>이란 시나리오를 건네는데…",https://movie.naver.com/movie/bi/mi/basic.naver?code=39368
아비정전,"자유를 갈망하는 바람둥이 ‘아비’는 매일 오후 3시가 되면 매표소에서 일하는 ‘수리진’을 찾아간다. 그는 그녀에게 이 순간을 영원처럼 기억하게 될 거라는 말을 남기며 그녀의 마음을 흔든다. 결국 ‘수리진’은 ‘아비’를 사랑하게 되고 그와 결혼하길 원하지만, 구속 당하는 것을 싫어하는 ‘아비’는 그녀와의 결혼을 원치 않는다. ‘수리진’은 결혼을 거절하는 냉정한 그를 떠난다. 그녀와 헤어진 ‘아비’는 댄서인 ‘루루’와 또 다른 사랑을 이어간다. 하지만 이들의 관계도 역시 오래 가지는 못한다. ‘루루’에게 일방적인 이별을 통보한 ‘아비’는 친어머니를 찾아 필리핀으로 떠나게 된다. 한편, 그와의 1분을 잊지 못한 ‘수리진’은 ‘아비’를 기다리는데…",https://movie.naver.com/movie/bi/mi/basic.naver?code=10546
모가디슈,"내전으로 고립된 낯선 도시, 모가디슈 지금부터 우리의 목표는 오로지 생존이다! 대한민국이 UN가입을 위해 동분서주하던 시기 1991년 소말리아의 수도 모가디슈에서는 일촉즉발의 내전이 일어난다. 통신마저 끊긴 그 곳에 고립된 대한민국 대사관의 직원과 가족들은 총알과 포탄이 빗발치는 가운데, 살아남기 위해 하루하루를 버텨낸다. 그러던 어느 날 밤, 북한 대사관의 일행들이 도움을 요청하며 문을 두드리는데… 목표는 하나, 모가디슈에서 탈출해야 한다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=192150
신은 죽지 않았다 3: 어둠 속의 빛,150년간 자리를 지켜온 성 제임스 교회의 목사 ‘데이빗 힐’은  교회에서 일어난 의문의 화재사건으로 친구를 잃고 캠퍼스 내에 위치한 교회의 퇴거를 요구하는 주립대와 갈등을 빚는다. 학교와의 갈등은 점점 더 깊어져 데이빗 목사의 신념과 믿음마저 흔들리게 되는데…  절망의 끝에서 모든 사람이 발견해야 할 진리가 타오른다!,https://movie.naver.com/movie/bi/mi/basic.naver?code=172344
어나더 라운드,"각각 역사, 체육, 음악, 심리학을 가르치는 같은 고등학교 교사 니콜라이, 마르틴, 페테르, 톰뮈는 의욕 없는 학생들을 상대하며 열정마저 사라지고 매일이 우울하기만 하다. 니콜라이의 40번째 생일 축하 자리에서 “인간에게 결핍된 혈중 알코올 농도 0.05%를 유지하면 적당히 창의적이고 활발해진다”는 흥미로운 가설에 대한 이야기를 나누고, 마르틴이 실험에 들어간다. 인기 없던 수업에 웃음이 넘치고 가족들과의 관계에도 활기가 생긴 마르틴의 후일담에 친구들 모두 동참하면서 두 가지 조건을 정한다. [언제나 최소 0.05%의 혈중 알코올 농도 유지할 것! 밤 8시 이후엔 술에 손대지 않을 것!] 지루한 교사, 매력 없는 남편, 따분한 아빠, 최적의 직업적, 사회적 성과를 위해 점차 알코올 농도를 올리며 실험은 계속되는데… 과연 술은 인간을 더 나은 상태로 만들 수 있을지, 도전의 결말은?!",https://movie.naver.com/movie/bi/mi/basic.naver?code=194813
수퍼 소닉2,도시의 악당들을 물리치며 바쁘게 지구를 지키고 있는 초특급 히어로 ‘소닉’. 버섯 행성으로 쫓겨나 ‘소닉’에게 복수를 계획하던 천재 악당 ‘로보트닉’은 엄청난 힘을 지닌 신비의 에메랄드를 차지해 세상을 지배할 야망을 꿈꾸며 지구로 돌아온다! 최강 파워로 업그레이드된 ‘로보트닉’과 강력한 펀치 파워 ‘너클즈’의 공격에 속수무책으로 당하던 ‘소닉’은 하늘을 나는 꼬리를 가진 귀여운 파트너 ‘테일즈’의 도움으로 위기를 모면하게 되는데…  초특급 히어로 소닉과 테일즈 VS 너클즈와 천재 악당 로보트닉 새로운 질서로 세계를 정복하려는 최강 빌런에 맞선 거대한 대결이 시작된다,https://movie.naver.com/movie/bi/mi/basic.naver?code=212095
빅 아이즈,"딸과 생활하는 마가렛은 우연히 만난 월터 킨과 운명적인 사랑에 빠지게 된다. 마가렛이 그린 독특한 그림 ‘빅 아이즈’를 월터가 미술계에 팔기 시작하면서 ‘빅 아이즈’는 전 세계를 뒤흔드는 최고의 인기를 얻게 된다. 마가렛은 월터 덕분에 부와 명성을 얻게 되지만, 사람들 앞에서는 물론 딸 앞에서까지 ‘빅 아이즈’의 진짜 화가 행세를 하는 월터를 보며 충격에 빠진다. 결국 마가렛은 그림에 숨겨진 모든 진실을 밝히기로 결심하게 되는데…",https://movie.naver.com/movie/bi/mi/basic.naver?code=81464
경계선,"출입국 세관 직원인 ‘티나’는 후각으로 감정을 읽을 수 있는 기묘한 능력과 남들과는 조금 다른 외모로 세상과 쉽게 어울리지 못한다. 그러던 어느 날 그녀 앞에 수상한 짐을 가득 든 남자 ‘보레’가 나타나고, 그는 ‘티나’ 자신도 몰랐던 그녀의 특별한 모습을 일깨워주기 시작하는데…",https://movie.naver.com/movie/bi/mi/basic.naver?code=175045
언어의 정원,"구두 디자이너를 꿈꾸는 고등학생 ‘다카오’는  비가 오는 날이면 도심의 정원으로 구두를 스케치하러 간다.  어느 날 그는 우연히 ‘유키노’라는 여인과 정원에서 만나게 되고, 예상치 못한 만남은 비가 오는 날이면 계속 이어진다.   그리고 비록 이름조차 모르지만 걷는 법을 잊어버린 그녀를 위해  ‘다카오’는 구두를 만들어 주기로 결심한다.   그러나 장마가 끝나갈 무렵, 그들 사이에는  뭔가 말하지 못한 것들이 남아 있는 듯한데…",https://movie.naver.com/movie/bi/mi/basic.naver?code=106335
루이스 웨인: 사랑을 그린 고양이 화가,"모든 동물이 행복해지길 바랐던 엉뚱한 천재 화가 ‘루이스’(베네딕트 컴버배치). 그림 말고는 모든 게 서툴렀던 그의 앞에 어느 날 운명 같은 사랑이 찾아온다. 그의 세상을 송두리째 바꿔 놓은 삶의 전부, ‘에밀리’(클레어 포이) 그리고 고양이 ‘피터’.  모두를 다정하게 끌어안을 가장 사랑스러운 로맨스가 온다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=193961
날씨의 아이,"비가 그치지 않던 어느 여름날, 가출 소년 ‘호다카’는 수상한 잡지사에 취직하게 되고 비밀스러운 소녀 ‘히나’를 우연히 만난다.  “지금부터 하늘이 맑아질 거야”  그녀의 기도에 거짓말 같이 빗줄기는 멈추고, 사람들의 얼굴에 환한 빛이 내려온다.  “신기해, 날씨 하나에 사람들의 감정이 이렇게나 움직이다니”  하지만, 맑음 뒤 흐림이 찾아오듯 두 사람은 엄청난 세계의 비밀을 마주하게 되는데…  흐리기만 했던 세상이 빛나기 시작했고, 그 끝에는 네가 있었다.",https://movie.naver.com/movie/bi/mi/basic.naver?code=181114
니 부모 얼굴이 보고 싶다,"명문 한음 국제중학교 학생 ‘김건우’가 같은 반 친구 4명의 이름이 적힌 편지를 남긴 채, 의식불명 상태로 호숫가에서 발견된다.  병원 이사장의 아들 ‘도윤재’ 전직 경찰청장의 손자 ‘박규범’ 한음 국제중학교 교사의 아들 ‘정이든’ 그리고, 변호사 ‘강호창’(설경구)의 아들 ‘강한결’.  가해자로 지목된 아이들의 부모들은 자신의 권력과 재력을 이용해 사건을 은폐하려고 한다. 하지만, 담임 교사 ‘송정욱’(천우희)의 양심 선언으로 건우 엄마(문소리) 또한 아들의 죽음에 관한 진실을 알게 된다.  세상의 이목이 한음 국제중학교로 향하고, 자신의 아이들을 지키기 위한 가해자 부모들의 추악한 민낯이 드러나는데…  자식이 괴물이 되면, 부모는 악마가 된다",https://movie.naver.com/movie/bi/mi/basic.naver?code=159812
스펜서,왕비가 되지 않고 자신의 이름을 찾기로 결심한 다이애나 왕세자비의 새로운 이야기,https://movie.naver.com/movie/bi/mi/basic.naver?code=207921
미나리,"""미나리는 어디서든 잘 자라""  낯선 미국, 아칸소로 떠나온 한국 가족. 가족들에게 뭔가 해내는 걸 보여주고 싶은 아빠 '제이콥'(스티븐 연)은 자신만의 농장을 가꾸기 시작하고 엄마 '모니카'(한예리)도 다시 일자리를 찾는다.  아직 어린 아이들을 위해 ‘모니카’의 엄마 ‘순자’(윤여정)가 함께 살기로 하고 가방 가득 고춧가루, 멸치, 한약 그리고 미나리씨를 담은 할머니가 도착한다.  의젓한 큰딸 '앤'(노엘 케이트 조)과 장난꾸러기 막내아들 '데이빗'(앨런 김)은 여느 그랜마같지 않은 할머니가 영- 못마땅한데…  함께 있다면, 새로 시작할 수 있다는 희망으로 하루하루 뿌리 내리며 살아가는 어느 가족의 아주 특별한 여정이 시작된다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=187310
그대가 조국,대한민국은 민주공화국인가 검찰공화국인가 검찰의 칼날이 그대에게 향하지 않는다고 자신할 수 있는가 사냥이 시작됐다. 검찰이 던진 좌표를 따라 언론은 몰려들고 소문은 꼬리를 문다. 분노한 대중 앞에 검찰은 칼을 휘두른다. 저기 쫓기는 자는 누구인가. 그대가 아니라고 자신할 수 있는가.,https://movie.naver.com/movie/bi/mi/basic.naver?code=216100
디어 에반 핸슨,"자신감 제로, 존재감 제로, 어딜 가든 눈에 띄지 않는 소년 ‘에반 핸슨’은 매일 스스로에게 편지를 쓰며 어제와 다른 특별한 하루를 꿈꾼다. 어느 날, 자신에게 쓴 편지를 ‘코너’에게 빼앗긴 에반 핸슨. 며칠 뒤 갑작스러운 코너의 죽음으로 인해 자신의 편지를 코너의 유서로 오해하고 찾아온 그의 가족은 따뜻한 관심을 표하고 누군가가 자신을 알아봐 주길 바라온 에반 핸슨은 그들의 따뜻함에 얼떨결에 코너와의 우정과 추억에 대한 기억을 만들어내게 되며 모두의 마음을 움직이게 되는데…  세상에 혼자 남겨진 것 같은 순간 에반이 당신을 찾아갑니다.",https://movie.naver.com/movie/bi/mi/basic.naver?code=207940
닥터 스트레인지: 대혼돈의 멀티버스,"끝없이 균열되는 차원과 뒤엉킨 시공간의 멀티버스가 열리며 오랜 동료들, 그리고 차원을 넘어 들어온 새로운 존재들을 맞닥뜨리게 된 ‘닥터 스트레인지’. 대혼돈 속, 그는 예상치 못한 극한의 적과 맞서 싸워야만 하는데….",https://movie.naver.com/movie/bi/mi/basic.naver?code=182016
아사코,"I. 강렬했다. 누구에게나 처음이 그렇듯… 첫사랑 ‘바쿠’와 함께하는 모든 날이 특별했던 ‘아사코’. 설레지만 불안하고 뜨겁지만 자유로운 영혼이었던 바쿠는  어느 날, 다시 돌아온다는 짧은 말만 남긴 채 아사코를 떠나갔다.   II. 편안했다. 다시 시작할 수 있어서… 우연일까? 운명일까? 첫사랑 바쿠와 똑같은 외모의 ‘료헤이’를 만나게 된 아사코. 겉모습만 같을 뿐 공통점 하나 없는 모습에 혼란스럽지만, 자상하고 따뜻한 료헤이의 사랑으로 아사코는 다시 설레는 사랑의 순간을 맞이한다.   그러던 어느 날, 떠나간 첫사랑 바쿠가 갑자기 나타나고 아사코는 흔들리기 시작한다.",https://movie.naver.com/movie/bi/mi/basic.naver?code=172145
앵커,"생방송 5분 전, 방송국 간판 앵커 ‘세라’(천우희)에게 자신이 살해될 것이라며 죽음을 예고하는 제보전화가 걸려온다. 장난전화로 치부하기에는 찝찝한 마음을 감출 수 없는 ‘세라’. 진짜 앵커가 될 기회라는 엄마 ‘소정’(이혜영)의 말에 ‘세라’는 제보자의 집으로 향하고 제보자인 ‘미소’와 그녀의 딸의 시체를 목격한다. 그날 이후, ‘세라’의 눈앞에 죽은 ‘미소’의 모습이 자꾸만 떠오르기 시작한다. 사건 현장에서 미소의 주치의였던 정신과 의사 ‘인호’(신하균)를 마주하게 되며 그에 대한 ‘세라’의 의심 또한 깊어지는데… 완벽했던 앵커를 뒤흔들 충격적인 진실을 확인하라!",https://movie.naver.com/movie/bi/mi/basic.naver?code=190374
신비한 동물들과 덤블도어의 비밀,"1930년대, 제2차 세계대전에 마법사들이 개입하게 되면서 강력한 어둠의 마법사 그린델왈드의 힘이 급속도로 커진다. 덤블도어는 뉴트 스캐맨더에게 위대한 마법사 가문 후손, 마법학교의 유능한 교사, 머글 등으로 이루어진 팀에게 임무를 맡긴다. 이에 뉴트와 친구들은 머글과의 전쟁을 선포한 그린델왈드와 추종자들, 그의 위험한 신비한 동물들에 맞서 세상을 구할 거대한 전쟁에 나선다. 한편 전쟁의 위기가 최고조로 달한 상황 속에서 덤블도어는 더 이상 방관자로 머물 수 없는 순간을 맞이하고, 서서히 숨겨진 비밀이 드러나는데…",https://movie.naver.com/movie/bi/mi/basic.naver?code=164122
어부바,"부산 해안가 포구의 멋쟁이 ‘어부바호’ 선장 종범은 철없는 동생의 느닷없는 결혼 선언과 늦둥이 아들의 첫사랑, 친구들과의 우정까지 사랑하는 가족을 지키기 위해 하루하루 고군분투한다. 그러던 어느 날 자신의 분신이자 아들 노마에게 엄마같은 존재인 ‘어부바호’가 빼앗길 위기에 처하게 되는데… 유쾌한 웃음과 찡한 눈물을 책임질 <어부바>가 온다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=208824
서울괴담,"어두운 터널을 홀로 지날 때의 두려움 옆집에서 들려오는 의문의 소리 중고 가구에 얽힌 미스터리 다른 사람을 향한 그릇된 질투 복수, 저주, 욕망에서 시작된 죽음보다 더한 공포의 실체가 찾아온다!",https://movie.naver.com/movie/bi/mi/basic.naver?code=215791
