title,singer,lyric,url,image
자니 (Feat. Dynamic Duo),프라이머리,"일 끝나서 친구들과 한잔
내일은 노는 토요일이니깐
일 얘기 사는 얘기 재미난 얘기
시간가는 줄 모르는 이 밤
술기운이 올라오니 사내놈들끼린
결국엔 여자 얘기
적적해서 서로의 전화기를 꺼내
번호목록을 뒤져보지
너는 지금 뭐해 자니 밖이야
뜬금없는 문자를 돌려보지 난
어떻게 해볼까란 뜻은 아니야
그냥 심심해서 그래
아니 외로워서 그래
술자리가 끝나가 3차로
이동하기 전인데 문자는
일분 칠분 십분 and 이십분
담배와 애만 태우는 지금
답장 왔어 오빠 나 남친 생겼어
늦었어 좀 일찍 연락하지 그랬어
담에 봐 그냥 담에 낮에 봐
후회할거 알면서 전 여자친구에게
너는 지금 뭐해 자니 밖이야
뜬금없는 문자를 보내보지 난
어떻게 해볼까란 뜻은 아니야
그냥 심심해서 그래
아니 외로워서 그래
아 진짜 술만 들어가면
왜 이렇게 들뜨는지
나도 잘 몰라 난 왜 그녀들을
부르는지 갑자기 허전해
작업을 걸어대지 여기저기 오늘 밤
나 자존심 다 버렸네
전 여친한테 더럽게 달라붙어
봤지만 그녀는 버럭해
너 진짜 철없게 언제까지 이럴래
미안해 갑자기 외로운걸 어떡해
껄떡대 껄떡대 나 여기저기 다
맘껏 들쑤시고 다녀 온 거릴 거릴 다
또 잠들었어 프라이머리가
텐션 떨어진다 동훈아 넌 저리가
이제 해가 나올 시간이 되가니까
눈이 녹듯이 사그라드는 기대감
너무 지치고 피곤해 자고 싶어
이제 나 첫차를 타고 졸며 집에가
창밖에 앉아 밖을 바라보네
나는 꾸벅꾸벅 조는데
사람들은 하루를 시작해
눈부셔 아침해를 보는게
정신은 맑아지지 않는 기분
아직도 바쁜 내 손가락
아직 손은 바쁘게 움직이지
해장국이나 먹고 갈래 오빠랑
너는 지금 뭐해 자니 밖이야
뜬금없는 문자를 보내보지 난
어떻게 해볼까란 뜻은 아니야
그냥 심심해서 그래
아니 외로워서 그래
가지마 제발 심심해서 그래",https://www.melon.com/song/detail.htm?songId=3726617,https://cdnimg.melon.co.kr/cm/album/images/020/89/047/2089047_500.jpg/melon/resize/48/quality/80/optimize
눈물 (Feat. 유진 Of 더 씨야),리쌍,"네가 떠나고 늘 슬프다
아무리 슬퍼해도 슬픔이 모자라
맘 놓고 아파할 곳을
찾아 숨는다
불 꺼진 집 안에 멈춰진
차 안에 너의 집 앞에
사랑 잃은 삶은 가난
남아 있는 것은 그저
텅 빈 내 맘 너와 난
마치 더 이상
함께 할 수 없는 낮과 밤
우리가 나눠가진 것은
그리움 하나
술에 취해 불쑥 찾아와
오늘은 오빠랑 잘 거라며
떼를 쓰고
베렛나루 만지며 내 품에
누워 보고 싶었다며 말을 하고
왜 오빠는 매일 바쁘냐
묻고 소리 없이 울고
그냥 해 본 말이라며
자긴 항상 나를 믿는다고
내 옆을 항상 지켜주던
너와의 모든 것이
다 이제는 그리움이 되고
좁은 골목길 사이 혼자 눈물
누가 볼까 봐 몰래 훔친 눈물
약해지지 않으려
발버둥을 치려다 내 눈물
집 앞 계단길 앞에 혼자 눈물
네가 알까 봐 몰래 훔친 눈물
약해지지 않으려
발버둥을 치려다 내 눈물
우린 고운 정보단
미운 정이 더 많아
맨날 싸우고 며칠 동안 안 봐
그렇게 우린 서로 원했던 게 많아
사랑했으니까 없으면
죽고 못 살았으니까
네 몸에 난 점 먹지 못하는 거
너와 싸우고 화해 키스하고 푼 적
운전할 때도 손을 꼭 잡았었던
그 모든 것이 다시 생각 나
잠시라도 곁에 없으면 불안해
너를 보내고 툭하면 멍해
변해 가는 세상이 싫어
너의 기억을 억지로 꺼내
이름 얼굴 웃음 향기
네가 내게 남긴 추억이
너무 많아
네가 내게 남긴 영혼은
아직 남아
살아 숨 쉬어
이렇게 나를 찾아와
사랑이란 두 글자로 다 부숴
좁은 골목길 사이 혼자 눈물
누가 볼까 봐 몰래 훔친 눈물
약해지지 않으려
발버둥을 치려다 내 눈물
집 앞 계단길 앞에 혼자 눈물
네가 알까 봐 몰래 훔친 눈물
약해지지 않으려 발버둥을
치려다 내 눈물
눈물 눈물
또 다시 눈물 눈물 눈물
소리 없이 또
i don't wanna know
내 기억을 다 번지게 해
좁은 골목길 사이 혼자 눈물
누가 볼까 봐 몰래 훔친 눈물
약해지지 않으려 발버둥을
치려다 내 눈물
집 앞 계단길 앞에 혼자 눈물
네가 알까 봐 몰래 훔친 눈물
약해지지 않으려
발버둥을 치려다 내 눈물",https://www.melon.com/song/detail.htm?songId=4020215,https://cdnimg.melon.co.kr/cm/album/images/021/73/499/2173499_500.jpg/melon/resize/48/quality/80/optimize
NoNoNo,Apink (에이핑크),"슬퍼하지 마 No No No
혼자가 아냐 No No No
언제나나나 내게
항상 빛이 돼 준 그대
내 손을 잡아요 이제
지금 다가와 기대
언제나 힘이 돼 줄게
내가 힘이 들 때
내게 다가온 그대
살며시 내게로 와 입맞춰 준 그대
마치 마법처럼 날 감싸준
정말 이런 기분 처음이야
가끔씩은 그대도 힘든가요
그렇게 혼자 슬퍼하면 어떡해
하나 둘씩
불이 꺼져가는 공간 속에
내가 널 비춰줄게
슬퍼하지 마 No No No
혼자가 아냐 No No No
언제나나나 내게
항상 빛이 돼 준 그대
내 손을 잡아요
이제 지금 다가와 기대
언제나 힘이 돼 줄게
꿈이 많던 그댄
너무 떨리던 그때에
수많은 시련 속에 기적을 바랐고
갈수록 불어오는 바람에
흔들리는 모습 처음이야
오랫동안 많이도 참았나요
아무 말 않고
고개 떨구면 어떡해
하나 둘씩
곁을 떠나가는 세상 속에
내가 널 비춰줄게
슬퍼하지 마 No No No
혼자가 아냐 No No No
언제나나나 내게 항상
빛이 돼 준 그대
내 손을 잡아요
이제 지금 다가와 기대
언제나 힘이 돼 줄게
가장 내게 힘이 돼 주었던
나를 언제나 믿어주던 그대
다들 그만해 라고 말할 때
마지막 니가 바라볼 사랑
이젠 내가 돼 줄게
슬퍼하지 마 No No No
혼자가 아냐 No No No
언제나나나 내게
항상 빛이 돼 준 그대
내 손을 잡아요
이제 지금 다가와 기대
언제나 힘이 돼 줄게",https://www.melon.com/song/detail.htm?songId=4163116,https://cdnimg.melon.co.kr/cm/album/images/021/91/397/2191397_500.jpg/melon/resize/48/quality/80/optimize
눈물샤워 (Feat. 에일리),배치기,"그대 눈에 보였죠
넘실거리는 슬픈 내 눈물이
아직 가슴에 차고 남아
한없이 두볼에 흐르고 있죠
지지리도 궁상이지
애써 짓는 미소조차
이리 울상인지
글썽이는 두눈에 맺힌
내 처량한 모습 이리 불쌍한지
자꾸 멍해져
목젖부터 울컥거리는게
툭치면 눈물이 쏟아질 것 같애
내가 나를 알기에
널 잡지 못했던 후회속에
질질 짜는 못난 놈
왜 난 너에게 좀 더 나은 사람이
될 수 없었는지에 대한 한탄 속에
왜 난 떠나가는 너의 뒷모습을
바라보기만 할 수밖에 없던
자책 속에
마지막엔 알아야 했어
너의 이기적인 가슴은
다른 설레임을 원한 걸
우는 와중에도 밥은 넘기는거 보니
그래도 계속 살고 싶긴 한가보네
그대 눈에 보였죠
넘실거리는 슬픈 내 눈물이
아직 가슴에 차고 남아
한없이 두볼에 흐르고 있죠
아무 일 없는 듯 웃고 싶어요
날 감싸는 추억이 또 날 붙잡죠
이 눈물이 그대의 두눈에도
흐르고 있을까요
처음엔 한방울 한방울
그러다 왈칵 쏟아지며 한참을
쥐뿔도 뭐 없는 내 꼴을 알기에
아쉬움도 갖지 못해 한탄을
아직도 남은 네 존재를
억지로 떨궈낸 내 속이 타는데
냉정히 날 두고 떠나갈만큼
나 형편없는 남자였나
기다려달란 말도 지친다
기약없는 말
더는 널 묶어둘 자신도
모면할 핑계도 댈 수가 없어서
더 감추지 못한 채
모자란 모습만 네게 보이고 마는
내 지지리도 못나고
꼬질한 내 모습
눈물로 씻어내 보낸다
그대 눈에 보였죠
넘실거리는 슬픈 내 눈물이
아직 가슴에 차고 남아
한없이 두볼에 흐르고 있죠
애꿎은 눈물만 흘리는 날 놔줘
네 품이 아닌 곳에 이제 날 놔줘
후회와 지나간 날들의 기억속에 갇혀
가슴 아픈 나
청승맞게 불 꺼놓고
이불을 머리 끝까지 덮어놓고
베개 위에 얼굴 엎어 놓고
샤워해 샤워 눈물샤워
청승맞게 불 꺼놓고
이불을 머리 끝까지 덮어놓고
베개 위에 얼굴 엎어 놓고
샤워해 샤워 눈물샤워
그대 눈에 보였죠
넘실거리는 슬픈 내 눈물이
아직 가슴에 차고 남아
한없이 두볼에 흐르고 있죠",https://www.melon.com/song/detail.htm?songId=4011596,https://cdnimg.melon.co.kr/cm/album/images/021/72/455/2172455_500.jpg/melon/resize/48/quality/80/optimize
"? (물음표) (Feat. 최자 Of 다이나믹듀오, Zion.T)",프라이머리,"전화를 할까 말까 문자로 할까
아 시간이 너무 늦었나
그녀는 벌써 잘까
오늘따라 밤이 너무 길어
문자를 썼다 고쳤다 하다가 지워
아쉬워 방금 보낸 문자가
답장을 기다리는
이 시간이 너무 길어
안절부절 못하는 내 모습이
안타까워서 약속도 없는
밤거리로 나왔어
뻥 터졌어 호르몬 두근거려
사춘기 중학생처럼 오예
내 맘에 빨간 불이 켜졌어
널 생각하면 이성은
꼼짝 못하고 얼어
제대로 털렸어 나 딱 걸렸어
나 넌 진짜
감당하기 힘든 일을 벌렸어
난 브레이크가 고장 난 8톤 트럭
못 멈춰 이미 시동 걸렸어 난
넌 웃을 때 웃을 때 콧구멍이 커져
그건 위험해 위험해 니 앞에 서면
괜히 수줍게 어물쩡대
그러고 보면 내가 어떻게 해
너는 왜 항상 무표정
넌 대체 뭘 하는 여자길래
도대체 뭘 먹고 자랐길래
물음표 물음표 찍게 만들어
니가 뭔데 내 입가에
미소만 짓게 만들어
Woah 말도 안돼
제발 좀 그만해줄래
너무 귀여워 끌려 난 어지러워 끌려
끌리는 것 이상으로
저걸 어째 뭔데
네 번째 손가락에 낀 반지 뭔데
슬쩍 묻네 대답 없고
스무고개 하자 할 수도 없고
나만 술래 하기야
넌 매일 도망가기만 해
날 어쩔 셈이야 이거
어장관리 아냐
날 잡던지 아님
내게 잡히던지 해줘
뿌리치던지 내게 안기던지 해줘
그렇게 웃지만 말고 얘기해줘
답답한 내 맘에다 너란 창을 내줘
넌 대체 뭘 하는 여자길래
도대체 뭘 먹고 자랐길래
물음표 물음표 찍게 만들어
니가 뭔데 내 입가에
미소만 짓게 만들어
Woah 말도 안돼
제발 좀 그만해줄래
너무 귀여워 끌려
난 어지러워 끌려
끌리는 것 이상으로 끌려",https://www.melon.com/song/detail.htm?songId=3947371,https://cdnimg.melon.co.kr/cm/album/images/021/61/126/2161126_500.jpg/melon/resize/48/quality/80/optimize
Give It To Me,씨스타,"You see
I don't usually do this but
I really need you tonight
Give it to me give it to me
Give it to me give it to me
서른이 넘기 전에 결혼은 할는지
사랑만 주다 다친
내 가슴 어떡해 oh
애꿎은 빗소리에도
가슴이 아파서
아직도 어리고 여려
순진하고 여려
눈물은 많은지
Give it to me oh babe
Give it to me Give it to me
Give it to me oh babe
Give it to me
Oh baby give it to me
Oh oh oh oh oh oh
Oh oh oh oh oh oh
아무리 원하고 애원해도
눈물로 채워진 빈자리만
사랑을 달란 말이야
그거면 된다는 말이야
Oh oh oh
Oh babe give it to me
아침이 오기 전에 그대가 올는지
바보같이 너 하나뿐인 나 Oh
운다 하루 종일 울다 동이 튼다
저 해가 달인지
밤이 낮인지도 몰라
Oh babe give it to me
I'm sorry that's all I need
Oh babe give it to me
Oh babe give it to me
Give it to me oh babe
Give it to me Give it to me
Give it to me oh babe
Give it to me
Oh baby give it to me
Oh oh oh oh oh oh
Oh oh oh oh oh oh
아무리 원하고 애원해도
눈물로 채워진 빈자리만
사랑을 달란 말이야
그거면 된다는 말이야
Oh oh oh
Oh babe give it to me
수십 번 수백 번을 쓰다가
또 찢어버린 편지
사랑은 왜 이렇게 내게만 무겁지
운다 하루 종일 울다 동이 튼다
저 해가 달인지
밤이 낮인지도 몰라 나 난
나 하루 종일 울다 동이 튼다
동이 튼다 동이튼다
나 하루 종일 울다 동이 튼다
동이 튼다
Give it to me oh babe
Give it to me Give it to me
Give it to me oh babe
Give it to me
Oh baby give it to me
Oh oh oh oh oh oh
Oh oh oh oh oh oh
아무리 원하고 애원해도
눈물로 채워진 빈자리만
사랑을 달란 말이야
그거면 된다는 말이야
Oh oh oh
Oh babe give it to me",https://www.melon.com/song/detail.htm?songId=4138606,https://cdnimg.melon.co.kr/cm/album/images/021/88/413/2188413_500.jpg/melon/resize/48/quality/80/optimize
이름이 뭐예요?,4minute,"4minute What's your name
What's What's your name
4minute What's your name
What's What's your name
랄랄랄랄랄라 이름이 뭐예요
뭐 뭐예요
랄랄랄랄랄라 What's your
name What's What's your name
랄랄랄랄랄라 뭐예요 뭐예요
이름이 뭐예요
랄랄랄랄랄라 What's What's
What's What's What's What's
your name
지루하기만 하던 내
하루하루에
딱 꽂혀버리고 만 거야
Oh Oh 난 너에게
소리로 들리나요 진심이란
말이예요
날 보는 그 눈빛이 싫어요
방긋 웃어줘요
빙빙 말 돌리지 말고 빙빙
맴 돌지만 말고
징징 좀 거리지 말고 내 말
좀 들어봐요
What's your name What's
What's your name
You know my name You
know my name
What's your name What's
What's your name
You know my name You
know my name
문이 열리고 멋진 그대가
들어오네요
이름이 뭐예요 몇 살이예요
사는 곳은 어디예요
술 한 잔 하면서 얘기해 봐요
이름이 뭐예요 몇 살이예요
나 쉬운 여자 아니예요
이름이 뭐예요 What's your name
전화번호 뭐예요
이름이 뭐예요 What do you like
시간 좀 내줘요
이름이 뭐예요 What's your name
전화번호 뭐예요
이름이 뭐예요 What do you like
뭐예요 뭐예요 나랑 놀아요
Hey stop 뭐가 그리도 급해 넌
Oooh stop 나를 두고
가지 마 Boy
Slow down 네가 원하는 대로
그러니 넌 참지 마
오늘 이 밤은 나와 같이
Oh Oh Oh Oh
빙빙 말 돌리지 말고 빙빙
맴 돌지만 말고
징징 좀 거리지 말고 내 말
좀 들어봐요
What's your name What's
What's your name
You know my name You
know my name
What's your name What's
What's your name
You know my name You
know my name
문이 열리고 멋진 그대가
들어오네요
이름이 뭐예요 몇 살이예요
사는 곳은 어디예요
술 한 잔 하면서 얘기해 봐요
이름이 뭐예요 몇 살이예요
나 쉬운 여자 아니예요
이름이 뭐예요 What's your name
전화번호 뭐예요
이름이 뭐예요 What do you like
시간 좀 내줘요
이름이 뭐예요 What's your name
전화번호 뭐예요
이름이 뭐예요 What do you like
뭐예요 뭐예요 나랑 놀아요
랄랄랄랄랄라 이름이 뭐예요
뭐 뭐예요
랄랄랄랄랄라 What's your
name What's What's your name
랄랄랄랄랄라 뭐예요 뭐예요
이름이 뭐예요
랄랄랄랄랄라 What's What's
What's What's What's What's
your name",https://www.melon.com/song/detail.htm?songId=4099280,https://cdnimg.melon.co.kr/cm/album/images/021/83/128/2183128_500.jpg/melon/resize/48/quality/80/optimize
모노드라마 (With 유승우),허각,"조용히 앉아서 우릴 생각해
이렇게 돼버린 우릴
가만히 눈을 감고 널 기억해
네 얼굴 또 우리 둘
난 또 서성이면서 우리를 생각해
이렇게 돼버린 우릴
절대 돌이킬 수 없게 돼버린걸
어떡해 난 어떡해
어쩌면 모두 끝났겠지만
어쩌면 돌이킬 순 없겠지만
말도 안돼
자신 없단 말은 하지마 어떡해
그리워 더 그리워
미칠 듯이 난 그리워
너의 기억만 가득 남아서
이렇게 네가 그리워
사랑해 널 사랑해
미칠 듯 너를 사랑해
난 괜찮아 나는 괜찮아
속삭이는 고백
까맣게 그을린 밤이 찾아오고
네 방에 불이 켜지면
흘러나오는 이 노랠 듣겠지
이렇게 날 듣겠지
어쩌면 너무 늦었겠지만
어쩌면 너무 늦었겠지만
말도 안돼
자신 없단 말은 하지마 어떡해
그리워 더 그리워
미칠 듯이 난 그리워
너의 기억만 가득 남아서
이렇게 네가 그리워
사랑해 널 사랑해
미칠 듯 너를 사랑해
난 괜찮아 나는 괜찮아
속삭이는 고백
알아 난 나보다
널 더 많이 사랑한다고
너 없이는 단 하루도
숨 쉬며 살아갈 수 없어
그리워 더 그리워
미칠 듯이 난 그리워
너의 기억만 가득 남아서
이렇게 네가 그리워
사랑해 널 사랑해
미칠 듯 너를 사랑해
난 괜찮아 나는 괜찮아
속삭이는 고백
밤 하늘을 보며 너를 추억해
지울 수도 없는 너를",https://www.melon.com/song/detail.htm?songId=4019298,https://cdnimg.melon.co.kr/cm/album/images/021/73/383/2173383_500.jpg/melon/resize/48/quality/80/optimize
My Love,이승철,"사랑해 그 말은 무엇보다 아픈 말
숨죽여서 하는 말
이젠하기 힘든 말
Oh 햇살이 밝은 아침보다
밤의 달빛이 어울려요
이별의 그 입맞춤
잠시 접어둔 채 이대로 이렇게
힘껏 안아줄께 널 그리고 말할께
나 이렇게 너를 외치면서
My Love
넌 보지 못할 내 마지막 눈물
힘껏 안아줄께 널 그리고 보낼께
나 또 한번 너를 외치면서
My Love
넌 듣지 못할 사랑한단 내 말
괜찮아 그 말은 안쓰러운 거짓말
애쓰면서 웃어도
우린 그저 눈물만
Oh 햇살이 밝은 아침보다
밤의 달빛이 어울려요
이별의 그 입맞춤
잠시 접어둔 채 이대로 이렇게
힘껏 안아줄께 널 그리고 말할께
나 이렇게 너를 외치면서
My Love
넌 보지 못할 내 마지막 눈물
힘껏 안아줄께 널 그리고 보낼께
나 또 한번 너를 외치면서
My Love
넌 듣지 못할 사랑한단 내 말
힘껏 안아줄께 널 그리고 말할께
나 이렇게 너를 외치면서
My Love
넌 보지 못할 내 마지막 눈물
힘껏 안아줄께 널 그리고 말할께
나 이렇게 너를 외치면서
My Love
넌 듣지 못할 사랑한단 내 말
My Love",https://www.melon.com/song/detail.htm?songId=4142913,https://cdnimg.melon.co.kr/cm/album/images/021/88/937/2188937_500.jpg/melon/resize/48/quality/80/optimize
있다 없으니까 (Gone Not Around Any Longer),씨스타19,"이렇게 쉽게
이별할 줄 몰랐어
눈물이 멈추지 않아
내 욕실에
칫솔이 있다 없다
네 진한 향기가
있다 없다
널 사랑했다고
말하고 싶은데
니 전화기는
없는 번호로 나와
액자 속에
사진이 있다 없다
빠진 머리카락이
있다 없다
아무 생각 없이
길을 걷는데
자꾸 눈물이 나와
니가 있다 없으니까
숨을 쉴 수 없어
곁에 없으니까
머물 수도 없어
나는 죽어가는데
너는 지금 없는데
없는데 없는데 없는데
니가 있다 없으니까
웃을 수가 없어
곁에 없으니까
망가져만 가는
내 모습이
너무 싫어 난 난
이제 기댈 곳 조차 없어
왜 이리 난 또 바보같이
하루가 멀게 시들어가지
빛을 잃은 꽃처럼
그댈 잃어버린 난 그저
아프다 아프다는 말 뿐야
슬프다 나혼자
오늘밤도 울다 잠든다
술에 취해 비틀거릴
내 모습이 싫잖아
싸우고 싶어도
싸울 수 조차 없잖아
니가 없으니까
니가 없으니까
어디에다 말할 곳
조차 없잖아 난
니가 있다 없으니까
숨을 쉴 수 없어
곁에 없으니까
머물 수도 없어
나는 죽어가는데
너는 지금 없는데
없는데 없는데 없는데
니가 있다 없으니까
웃을 수가 없어
곁에 없으니까
망가져만 가는
내 모습이
너무 싫어 난 난
이제 기댈 곳 조차 없어
니가 니가 니가 없으니까
돌아와줘",https://www.melon.com/song/detail.htm?songId=4024692,https://cdnimg.melon.co.kr/cm/album/images/021/74/057/2174057_500.jpg/melon/resize/48/quality/80/optimize
