,title,sub_title,intro,link_url,image_url
0,[오산 위클리클래식 페스티벌] 리미트리스 클래식 2,클래식 ,"클래식이 클래식일수 있는 이유는, 변하지 않는 아름다움 때문이겠지요. 하지만, 그 견고한 선 안에서도 무한한 자유를 표현하고 싶었습니다. 공간의 벽을 허물고 더 친숙하게 다가가고, 새로운 해석으로 다양한 레퍼토리를 만날 수 있도록 현재 활발하게 활동중인 젊은 아티스트들이 참여하는 Limitless Classic Series 를 선보입니다. 하루 2회의 공연이 시리즈로 진행 되는데요. 첫번째인 Part 1은 가장 위대한 작곡가 '베토벤' 을 피아노와 클라리넷, 그리고 첼로의 특별한 편성으로 만나보겠습니다!",,
1,[오산 위클리클래식 페스티벌] 리미트리스 클래식 1,클래식 ,"클래식이 클래식일수 있는 이유는, 변하지 않는 아름다움 때문이겠지요. 하지만, 그 견고한 선 안에서도 무한한 자유를 표현하고 싶었습니다. 공간의 벽을 허물고 더 친숙하게 다가가고, 새로운 해석으로 다양한 레퍼토리를 만날 수 있도록 현재 활발하게 활동중인 젊은 아티스트들이 참여하는 Limitless Classic Series 를 선보입니다. 하루 2회의 공연이 시리즈로 진행 되는데요. 두번째 시간인 Part 2 는 피아노 퀸텟으로 구성되어 고전시대 작곡가 모차르트와 슈베르트의 음악에 푹 빠져봅니다. 바로 내 눈 앞에서 5명의 연주자의 화려하고 아름다운 선율에 푹 빠져보는 시간 되시길 바랍니다.",,
2,문화의 향기가 가득한 송도만의 특별한 콘서트 - 인천,콘서트 ,"<2022년 연수구 문화예술 분야 주민참여예산> 제안서 기반으로 기획·추진하는 사업으로 도심 속 자연을 누릴 수 있는 공원에서 아름다운 환경과 다채로운 클래식 공연을 진행합니다. 내 집 앞, 동네 공원에서 품격 있는 공연으로 자연과 음악이 주는 행복과 여유를 일상에서 만끽하시길 바랍니다.",https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=%EB%AC%B8%ED%99%94%EC%9D%98+%ED%96%A5%EA%B8%B0%EA%B0%80+%EA%B0%80%EB%93%9D%ED%95%9C+%EC%86%A1%EB%8F%84%EB%A7%8C%EC%9D%98+%ED%8A%B9%EB%B3%84%ED%95%9C+%EC%BD%98%EC%84%9C%ED%8A%B8+-+%EC%9D%B8%EC%B2%9C+%EC%A0%95%EB%B3%B4,https://search.pstatic.net/common?type=o&size=174x242&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20220527_51%2F1653632830488QpyDJ_JPEG%2F269_image_url_1653632830423.jpg
3,2022 청소년을 위한 교과서 해설 음악회 - 성남,클래식 ,"1996년 청소년들의 정서 함양과 인격 창조, 올바른 청소년 문화 육성을 목적으로 창단한 성남시 최초의 청소년 오케스트라인 성남 청소년 오케스트라가 오늘 6월 22일 성남아트센터에서 '청소년을 위한 교과서 해설 음악회'를 개최합니다. 모짜르트 최후의 3대 교향곡 중 하나라고 불리는 교향곡 40번 전 악장을 시작으로 비에니아프스키 바이올린 협주곡 2번, 요한스트라우스 2세 황제 왈츠, 푸치니 오페라 '라보엠', 와일드혼 뮤지컬 '지킬 앤 하이드' 중 '지금 이순간', 이탈리아 칸초네 나폴리 민요 ' 오 나의 태양' 등 너무나 유명한 다양한 곡들이 연주됩니다. 특히 19세기 바이올린의 명수라 불리는 비에니아프스키의 대표작 바이올린 협주곡 No.2 은 연주가 까다로워 바이올린 기교의 절정을 보여준다고 알려져 있습니다. 이번 연주자인 분당중학교 2학년 홍준영 군은 일반중학교 재학중임에도 불구하고 성남청소년 오케스트라의 단원으로 4년째 활동하며 음악 예술을 사랑하는 진정한 이 시대 청소년의 모습을 보여주고 있습니다.",,
4,2022 서울시향 실내악 시리즈 IV,클래식 ,"20세기 초 작곡된 작품들을 위주로 구성된 이날 실내악 프로그램은 전쟁이 서양 음악에 어떤 변화를 가져왔는지 동시대에 작곡된 다양한 5중주를 통해 보여줄 예정이다. 1부에 연주되는 힌데미트와 프로코피예프는 1920년대 제1차 대전 이후 작곡되었다. 전쟁 이전의 전통적인 5중주와 달리, 두 작품에서 각각의 악기들은 모두 동등한 비중을 가지고 있다. 각 악장들 또한 독자적인 타이틀과 성격을 지닌다. 이는 모든 것이 파괴된 전쟁의 소용돌이 속에 음악가들이 전통적인 형식의 가치에 의문을 품었음을 보여준다. 재즈 리듬이 들려오는 힌데미트의 5중주에서는 미국의 영향이 엿보인다. 희소성의 가치를 지닌 프로코피예프의 5중주에서는 여섯 개의 악장이 저마다 동화 같은 신비로운 분위기를 풍긴다. 이는 다채로운 악기의 조합으로 서구 모더니즘도, 러시아 전통주의도 아닌 새로운 음색을 창조해낸 결과이다. 팽팽한 긴장이 이어지는 1부와 달리 본윌리엄스의 5중주가 연주되는 2부는 전쟁 이전의 평화로운 시절, 자연의 풍경으로 우리를 안내한다. 슈베르트의 유명한 ‘송어’ 5중주의 전통을 그대로 따르는 본윌리엄스의 5중주에는 그의 다른 작품에서도 찾아볼 수 있는 서정적인 선율과 다이내믹한 성격이 동시에 공존한다. 2022년은 본윌리엄스 탄생 150주년이라는 점에서 이 실내악 공연에는 또 하나의 남다른 의미를 부여할 수 있다.",https://search.naver.com/search.naver?where=nexearch&sm=top_hty&fbm=0&ie=utf8&query=2022+%EC%84%9C%EC%9A%B8%EC%8B%9C%ED%96%A5+%EC%8B%A4%EB%82%B4%EC%95%85+%EC%8B%9C%EB%A6%AC%EC%A6%88+IV+%EC%A0%95%EB%B3%B4,https://search.pstatic.net/common?type=o&size=174x242&quality=75&direct=true&src=https%3A%2F%2Fcsearch-phinf.pstatic.net%2F20211214_178%2F16394581295194ndS1_JPEG%2F269_25475288_image_url_1639458129503.jpg
5,2022 장민호＆이찬원 콘서트 “민원만족” - 전주,콘서트 ,"함께라서 더 좋은 두 남자 이야기. 웃음꽃 눈물꽃 감성꽃 모두 만개! 꽃다발같은 남자 장민호! 노래는 기본! 잘생김은 옵션! 종합선물세트같은 남자 이찬원! 일상을 더욱 특별하게 만드는 두 남자의 마술이 시작됩니다! 보석감성 노래들, 솔직담백한 이야기들이 있는 관객만족! 쌍방소통 콘서트! “민원만족”과 만나세요.",,
6,토끼와 자라 - 의정부,가족/아동 ,아주 먼 옛날에 남해 바다에는 용왕님을 비롯해 여러 동물들이 살고 있었어요. 바닷속과 용궁은 너무 아름답고 고요하고 평화로웠죠. 그러던 어느 날 용왕님이 병에 걸리게 되자 아름다운 바닷속은 서로 미워하며 어둡게 변해갔습니다. 그때 의사선생님은 토끼의 간을 필요로 하게 되는데 자라 대신이 육지로 나가겠다고 하는데...,,
7,메조소프라노 권세연 독창회,클래식 ,"메조소프라노 권세연은 고등학교 재학 중 헝가리로 건너가 부다페스트 Szilágyi Erzsébet Gimnázium을 졸업하였으며, 헝가리 부다페스트 리스트 음악대학에서 디플롬과 Postgraduate과정을 수료하였다. 서울대학교 음악대학원에서 Erkel Ferenc의 오페라 'Bánk Bán'에 관한 연구로 석사학위를 취득하였으며 이후, 프랑스로 유학하여 파리 에꼴 노르말 음악원(École Normale de Musique de Paris)에서 장학생으로 고등연주자과정을 졸업, 디플롬(Diplôme Supérieur d'Exécution)을 취득하고, 동 음악원 최고연주자과정을 수료하였다. 일찍이 연주자로서의 입지를 굳힌 권세연은 헝가리에서 Kodály Zoltán 추모 기념 음악회, 주 헝가리 한국 대사관 주최 음악회, 4인 음악회 등 다수의 음악회, 프랑스 파리에서 독창회를 비롯하여 Ensemble Alternance와 Niels Rosing-Schow <Borges 두 개의 소네트> 연주 프로젝트 참여, 현대 창작 가곡 음악회(파리 Salle Cortot) 등 현대음악에도 깊은 관심을 갖고 다양한 연주를 하였다. 2008년 귀국 독창회 이후 서울 국제 가곡제 <Nadia & Lili Boulanger>, 프랑스 가곡연구회 세미나 음악회 <프랑스 가곡의 발전>, <G. Apollinaire의 시에 의한 Poulenc의 가곡>, <Histoires Naturelles>, 부암아트홀 초청 가곡시리즈 <동유럽의 낭만>, 2012년 뮌헨 헤라쿨레스홀에서 Dacapo Kammer Philharmonie, 용인문화재단 포은아트홀 마티네 콘서트에서 Ravel의 <Shéhérazade>를 협연하였으며, 음악예술학회의 정기연주회, Duo Recital <여인의 사랑과 생애>, <Pauline Viardo et ses amis>, G.B. Pergolesi의 <Stabat Mater> 연주 등 종교음악과 헝가리, 프랑스 성악곡의 다양한 레파토리 연구와 연주를 구상하며 활발한 활동으로 관객과 함께 호흡하고 있다. 전남대학교, 침례신학대학교, 국민대학교, 나사렛대학교 강사를 역임한 권세연은 현재 성신여자대학교, 선화예술중학교, 계원예술고등학교에 출강하여 후학을 양성하고 있으며, The Pianissimo 음악예술학회 및 프랑스 가곡연구회 임원으로 다양한 무대에서 활동하고 있다. ",,
8,The Ordinary 콘서트 - 부산,콘서트 ,"길고 긴 터널을 지나 다시 우리 곁으로 돌아온 일상 드디어 만나게 된 우리의 평범함을 마음껏 즐기는 시간! 디핵, 제이씨 유카, 키드 와인, 스키니 브라운 이제 여러분을 찾아갑니다.",,
9,겨울이야기 시즌2 - 김포,가족/아동 ,"전 시즌의 사건 이후, 다시 안정을 되찾고 평화로움이 가득해진 아렌델 왕국. 그런데 어느 날, 평화롭던 아렌델의 땅이 흔들리고, 물과 불들이 춤을 추자, 아렌델은 큰 혼란에 휩싸이게 된다.",,
