,Unnamed: 0,title,sub_title,intro,link_url,image_url
0,0.0,"알토, 바리톤 색소폰으로 들려드리는 이지 클래식",클래식 ,"색소포니스트 장유경 X 아이러브아트센터 문라이트 콘서트 일상생활 속에서 한 번쯤은 들어본 적 있을 법한 익숙한 곡들로 클래식 색소폰의 다양한 색채와 가능성을 더욱 편하게 즐길 수 있는 시간, 'Easy Classic'에 여러분을 초대합니다!",,
1,1.0,치카치카 호랑이,가족/아동 ,정교하게 움직이는 작은 애벌레가 갖가지 과일을 먹으며 멋진 호랑나비로 태어나는 과정까지! 대사없이 서정적인 음악으로 연출한 예쁜 인형극입니다.,,
2,2.0,1미터마술공연 - 군산,콘서트 ,"더 가까이 1미터, 초근접마술 눈앞에서 펼쳐지는 마술공연",,
3,3.0,용욱이의 편지,뮤지컬 ,"인적이 드문 외딴 오지 섬 화명도에는 각자만의 사연을 가진 7명의 사람이 있다. 모야모야병을 앓고 있는 상은과 의식불명 상태인 노인. 그런 상은을 위해 서울과 화명도를 오고 가는 상의 아빠, 서씨...",,
4,4.0,방귀쟁이 며느리 - 대구,가족/아동 ,"뿡뿡뿡~뿡! 방귀 한 번이면 지붕이 흔들흔들, 기왓장이 와르르! 도깨비도 혼쭐나서 도망간다는 그 방귀!",,
5,5.0,방울방울 매직버블쇼 - 인천,가족/아동 ,물 만을 이용하여 보여주는 시원한 워터 매직. 관객과 함께 하는 체험형 공연들. 즐거운 방울 방울 버블쇼. 안전한 수제 비누 방울을 사용하며 어린이들에게 신비하고 환상적인 비누방울의 세계를 보여 주는 화려한 초대형 버라이티 쇼! 쇼! 쇼!,,
6,6.0,미운오리새끼 - 부산,가족/아동 ,"백조 가족은 하늘을 나는 연습 중이다. 그런 백조 가족을 노리는 사냥꾼. 결국 막내 백조 때문에 아빠 백조는 사냥꾼의 총에 맞아 죽는다. 아빠의 죽음이 자기 때문이라고 자책하는 막내는 도망치다 정신을 잃는다. 기억을 잃은 막내는 오리 무리와 함께 살고 있는데, 무리들로부터 항상 괴롭힘을 당한다. 신세에 한탄하며 주변을 방황하던 중에 덫에 걸린 강아지를 풀어주게 되고, 자신을 친엄마처럼 보살펴주던 다친 오리의 사연을 알게 된다. 오리 마을이 사냥꾼으로부터 공격당한다. 다친 오리는 무리들을 구하지만 사냥개에게 사로잡힌다. 그 와중에 막내도 사냥꾼의 총에 날개를 맞아 정신을 잃는다. 깨어난 막내는 ...",,
7,7.0,오걸작-오선지 걸어가는 작곡가,콘서트 ,"국립정동극장 콘서트 시리즈 2022 올해의 작곡가 <허수현, 이범재> 정동에서 만나는 국내 최고의 작곡가 2인의 특별한 무대 소설처럼 아름다운 이야기가 있는 멜로디 이런 음악은 누가 작곡했을까？ 수많은 이야기를 음악으로 말하는 사람들. 이들의 상상이 오선지에 그려질 때 소리는 꽃처럼 피었고, 마음은 설렘으로 가득했다. 이제는 그들이 무대 위 주인공이 되어 사랑과 우정, 음악 인생에 대해 나눈다. 함께 작업했던 음악 동료들과 배우 모두가 하나 되어 교감하는 시간. 나는 삶의 페이지마다 깊게 새겨진 그대들의 음악을 만나러 간다. 풀 냄새 싱그러운 돌담길을 지나 푸르른 햇살로 가득 찬 정동으로..",,
8,8.0,최후진술,뮤지컬 ,"1633년 갈릴레오 갈릴레이는 지동설을 지지한 이단이라는 명목으로 로마교회의 종교재판을 받게 된다. 절체절명의 순간, 그는 살기 위해 자진하여 맹세한다. 지동설을 부정하고 천동설을 지지하는 내용의 '속편'을 저술하겠다고, 속편을 쓰기 위해 피렌체의 옛집으로 돌아온 갈릴레오는 생의 마지막 여행길에 오르고 그곳에서 뜻밖의 인물, 윌리엄 셰익스피어를 만난다.",,
9,9.0,앤서니브라운의 기분을말해봐 - 서울,가족/아동 ,기대하던 소풍날 비가 주륵주륵!!! 애니는 소풍을 가지 못하게 되었어요. 울렁울렁 지끈지끈~ 소풍을 못 가 병에 걸린 애니!!! 엄마는 애니를 위해 아주 특별한 그림책을 주었답니다. 과연 애니는 그림책에서 무엇을 보았을까요??,,
10,10.0,돌아온다,연극 ,"“여기서 막걸리를 마시면 그리운 사람이 돌아옵니다.” 경기도 외곽, 시골마을에 작은 한 식당이 있다. 이름하여 ‘돌아온다’ 식당. 그 식당에 들어가면 눈에 띄는 손글씨 액자가 있다. 그런데 정말 사람들은 소문에 소문을 듣고 그 식당으로 몰려온다. 그 마을에 거주하는 단골들도 있다. 욕쟁이 할머니, 그리고 군대 간 아들을 기다리는 초등학교 여선생, 집 나간 필리핀 아내를 기다리는 청년... 그들은 날마다 그 식당에 와 막걸리를 마시고 간다. 그것은 진한 기다림이며 그리움이다. 그러던 어느 날, 식당에 인근 야산 절에 새로 온 주지스님이 찾아오게 되는데...",,
11,11.0,기후비상사태: 리허설,연극 ,"기후비상사태에 대한 경종이 울리고 있다. 세계 각국의 기후과학자들이 지속해서 경고하고 있지만 기후위기는 먼 나라의 이야기, 먼 미래의 이야기로 받아들여진다. 마치 허구의 이야기처럼. 어떤 섬은 해수면 상승으로 섬이 잠기고 있다. 섬에 살고 있는 ‘작가’도 기후위기에 대한 연극을 쓰기 위해 애쓴다. 연설문을 찾아보고, 강연을 듣기도 하지만 계속해서 실패한다. 일종의 고백이 시작되고, 분노하고, 우울해하고, 슬픔에 잠긴다. 코로나19로 세계가 멈추고, 무대 위 세상 또한 멈추어버린 지금. 우리는 어떤 세상을 상상해야 할까? 우리는 어떤 연습을 해야 하는 걸까?",,
12,12.0,이호재 무대 60년 기념 공연 - 질투,연극 ,부인과 이혼하고 비닐하우스 사무실에서 혼자 살며 사업을 하고 있는 완규는 새로운 시제품 화분 제작을 기획 중이다. 늘 티격태격하지만 오랜 친구인 춘산은 잔소리를 해가며 완규의 사무실을 자주 찾아오며 새로운 사업에 대한 투자에도 적극적이다. 어느 날 완규에게 동네 약국 약사인 수정이 찾아와 단둘이 여행을 가자는 제안을 한다. 평소 완규는 수정에게 관심이 있었으나 친구 춘산과의 관계가 심상치 않다고 알고 있기에 갑작스러운 제안에 당황한다. 우여곡절 끝에 완규와 수정은 둘 사이의 호감과 관심을 알게 되고 서로의 이야기를 하게 된다. 어느덧 완규와 수정은 춘산 몰래 둘이 함께 있다. 호텔방에서 ...,,
13,13.0,고래,연극 ,"강원도 속초 앞바다에 떠있는 북한 잠수정 속. 조장과 기관장 그리고 무전장이 임무를 위해 육지로 올라간 저격수들을 기다리고 있다. 임무를 마친 저격수들이 잠수정으로 들어오고, 임무 완수를 보고 후 다시 북으로 돌아갈 준비를 하던 그때 한국 어선이 뿌리고 간 꽁치잡이 그물이 잠수정의 추진 날개에 휘말리고 마는데...",,
14,14.0,브라이덜 샤워 - 부산,연극 ,한 카페에서 친구의 결혼을 축하하기 위해 모인 세 명의 여자들. 그들은 친한 친구의 한 번뿐인 'bridal shower'를 성공적으로 진행하기 위해 잔뜩 들떠있다.,,
15,15.0,방문자들,연극 ,"공간 디자이너 정유리에게 첫 의뢰가 들어온다. 2층에만 위치한 출입구, 시선을 방해하는 공간 구분을 없애는 것이 의뢰인의 유일한 요구사항이다.",,
16,16.0,누가 디케의 눈을 가렸나,연극 ,아르바이트를 끝내고 집으로 가는 마지막 열차를 기다리던 혁수는 한 남자에게 납치를 당한다. 눈을 뜬 곳은 지하철 선로 안. 남자는 혁수를 아는 눈치이지만 혁수는 남자를 알지 못한다.,,
17,17.0,신데렐라 - 안산,가족/아동 ,어려서 부모님을 잃은 신데렐라는 새엄마와 새언니들의 구박에도 희망을 잃지 않으며 꿋꿋하게 하루하루를 보낸다. 그러던 어느 날 왕자님이 신붓감을 찾는다는 궁전 파티 소식이 들려온다.,,
18,18.0,곰스크로 가는 기차,연극 ,"""지금까지 살던 곳을 떠나 새로운 곳에서 새로운 생활을 시작하려고 합니다.(나지막하게)곰스크"" 결혼식을 마치고 새로운 출발을 상상하며 들떠있는 남자와 남기고 온 것들에 대한 아쉬움과 그리움을 떨쳐버리지 못하는 여자가 곰스크로 가는 기차에 몸을 싣는다.",,
19,19.0,킹아더,뮤지컬 ,"다시 깨어나는 전설, 새로운 세상의 시작 전 세계 가장 유명한 기사의 전설, 아더왕의 숨겨진 이야기가 펼쳐진다! 뮤지컬<킹아더>는 중세 시대 유럽에서 예수 다음으로 가장 많이 회자된 인물이자 영웅으로 오랜 기간 다양한 콘텐츠로 변주돼 우리에게도 익숙한, 전설의 왕으로 불리는 ‘아더왕’의 이야기를 그린다. 전 유럽을 아울렀던 상상력의 원천이자 판타지 문학에 영감을 불어넣은 원류, 아더왕의 전설이라는 고전을 현대적으로 재해석하고 판타지적인 색채를 덧입혀 스타일리시하게 재탄생시켰다. 밀도 높은 무대, 압도적인 음악 현대적으로 재해석한 가장 트렌디한 프랑스 뮤지컬 웅장하고 비장한 분위기의 넘버부터 켈틱 팝에 녹아든 아름다운 멜로디까지 다채로운 장르의 음악에 담긴 서정적인 가사가 주는 음악의 힘을 바탕으로 뮤지컬에서 쉽게 만날 수 없는 스트리트 댄스와 현대 무용, 발레 등을 엮어낸 안무와 고음의 하모니를 완벽히 소화하는 합창이 어우러져 객석을 압도하는 무대를 선사한다 한층 깊어진 이해와 섬세한 연기로 무대를 물들일 오리지널 캐스트부터 새로운 목소리와 캐릭터 변신으로 등장만으로도 존재감을 나타낼 뉴캐스트까지 어떤 선택도 후회 없을 최적의 캐스트!",,
20,20.0,연애하기 좋은 날 - 대구,연극 ,지후는 시연의 마음을 돌리기 위해 과거 연인 시절의 이야기를 조작하기 시작한다. 서로에 대한 마음이 호감으로 변하는 와중 잊혀졌던 이별의 기억이 조금씩 돌아오는데!!!,,
21,21.0,아기돼지삼형제 - 서울,가족/아동 ,"옛날 어느 마을에 사는 아기돼지 삼형제는 각자 집을 짓기로 한다. 첫째 돼지는 재활용품을 이용한 우산으로, 둘째 돼지는 판자로, 그리고 셋째 돼지는 벽돌로 각각 집을 짓는다.",,
22,22.0,브레멘음악대 - 대전,가족/아동 ,당나귀 찰리는 집에서나와 자신의 꿈을 위해 브레멘으로 향하게 된다. 그러던중 늙은개 브루노가 타나난다. 찰리는 브루노가 자신과 비슷한 처지임을 알고 함께 브레멘으로 가자고 하는데.. ,,
23,23.0,아리 아라리 - 서울,뮤지컬 ,조선시대 경복궁 중수를 위해 강원도 정선의 우수한 소나무를 한양으로 보내라는 어명이 떨어진다. 정선 최고의 나무꾼 기목은 사랑하는 아내 정선과 딸 아리를 뒤로 한 채 뗏목을 몰고 한양으로 떠난다. 뛰어난 실력으로 돈을 많이 번 기목은 경복궁 완공 축하 잔치에서 기생 애월이에게 홀려 돈을 탕진하고 집에 갈 차비마저 노름판에서 다 털리고 작당을 한 노름꾼들에게 폭행까지 당한다. 한편 기목이 떠난 후 15 년 동안 기목이 죽은 줄로 알고 제사를 지내던 가족은 장동뱅이에게 기목이 기억을 잃고 한양에 살아있다는 소식을 듣게 된다. 숙녀가 된 아리는 아버지를 찾아오겠다며 한양으로 떠나는데...,,
24,24.0,너무 놀라지 마라,연극 ,"영화 촬영으로 집에 잘 못 들어오는 큰 아들. 몇년 째 집안에서만 지내는 은둔형 외톨이 둘째 아들. 그리고 시아버지와 시동생의 생계를 유지하기 위해 노래방 도우미로 일하는 며느리. 어느 날, 친구의 장례식장에 다녀온 아버지가 자살을 하게 되는데...",,
25,25.0,양자전쟁 - 성남,연극 ,"천재 과학자들의 정모 <솔베이 회의>. 양자역학이 태동하는 그 순간, 전 세계의 과학자들은 혼란에 빠진다. 아리스토텔레스, 갈릴레이, 뉴턴, 그리고 아인슈타인 등의 위대한 과학자들이 오랜 시간에 걸쳐 구축한 인과론의 난공불락 요새를 위협한다.",,
26,26.0,"철수, 영희 - 광주",뮤지컬 ,각자의 사정을 짊어지고 더 나은 현실을 위해 어쩔 수 없이 나간 맞선 다방.... 그곳에서 똑같은 이름 때문에 맞선 상대가 바뀌고 마는데...,,
27,27.0,플라멩코 마리아호세프랑코 내한공연,클래식 ," ""연약하지만 위대한 인간영혼의 찬란한 승리! 인류세계문화유산으로 승화한 집시의 예술혼 플라멩코!  심장을 울리는 발소리, 울부짖는 듯한 집시의 노래, 바로 눈 앞 숨소리조차 들리는 가슴 터질듯한 플라멩코의 전율, 두엔데를 경험하다"" MARIA JOSE FRANCO마리아 호세 프랑코는 인간의 근원적인 희로애락의 감정을 깊은 소리와 격정적인 몸짓으로 전달한다. 세계 최대의 플라멩코 축제인 스페인 JEREZ FESTIVAL(헤레즈 페스티벌)에서 한 해도 거르지 않고 공연을 하고 있는 최고 수준의 무용수로 미국, 캐나다, 프랑스, 독일, 이탈리아, 룩셈부르크 등 세계적으로 초청 러브콜을 받고 있다. 5살때부터 플라멩코를 시작하였으며, 케스터네츠, 지팡이, 긴꼬리 치마 등 도구를 활용한 플라멩코에 강하고, 여성적이면서도 강한 집시의 플라멩코를 동시에 보여준다. 기타리스트 JUAN(후안)과 가수MANUEL(마누엘)은 유명한 플라멩코 집시 집안으로 조상 때부터 대대로 물려받은 모네오 가문의 울부짖는 듯한 깊은 노래를 선사한다. 이번 플라멩코 공연은 사라지는 스트라디움을 위한 진혼의 무대가 될 것입니다. 동시에 관객들은 스트라디움에서 완벽한 고음질과 품위있는 무대와 함께 역사에 남을 생애 최고의 플라멩코를 경험할 것입니다.",,
