text,label
선약이 있는데 할 일이 끝나지 않아서 조급했다. 하지만 아슬아슬하게 다 끝낼 수 있었고 다행히 약속에 늦지 않게 도착할 수 있었다. 길을 걷는데 날씨는 또 왜 그렇게 좋던지. 오랜만에 스트레스에서 벗어난 시간이었다.,"[14, 28, 40, 42]"
선거를 마치고 오랜만에 쇼핑을 했다. 연휴가 적절한 타이밍이 찾아왔다고 생각했다. 어제의 숙취로 몸은 조금 힘들었지만 정신적으로는 충분히 힐링되는 시간이었다. 먹고 싶던 초밥도 먹었고 ㅋㅋㅋㅋ 운동화를 하나 장만했는데 다시 운동을 시작할 때가 된 것 같다.,"[8, 14, 27, 28, 40, 42]"
저녁 술 약속이 있어 잠시 나갔는데 할 일을 마무리 짓지 못해서 마냥 편하게 놀지는 못한 것 같다. 결국 일찍 파하고 들어와 할 일을 마무리하고 새벽에 잘 수 있었다.,"[10, 22, 26, 27, 33, 41]"
당장 내일 시험이 하나 있는데 공부를 많이 하지 못했다. 왜 미리 해놓지 못했을까. 시험을 앞두고 급하게 현실적으로 목표를 수정하는 나 자신이 조금 한심했다. 그래도 뭐 별 수 있나. 후회하기보단 당장 준비를 해야겠지.,"[3, 17, 20, 22, 25, 27, 30, 33, 41]"
12시간이나 이어진 시험이 너무 힘들었다. 시험이 끝나니 후련하긴 했지만 아직 갈 길이 멀다는 생각에 울적해졌다. 밤에 친구들을 만났지만 기분이 쉽사리 올라오지는 않았다. 취업이 쉽지 않다.,"[3, 17, 20, 22, 25, 27, 41]"
3연속 술은 역시 힘들다. 간이 나를 포기한 것 같기도 하고...,"[3, 27]"
거의 10년만에 고등학교 동창들을 만났다. 반갑긴 한데 술을 너무 빨리 마셔서 후반에 기억이 나지 않는다. 불안하다. 차라리 기억이 나지 않는게 다행인걸까ㅋㅋㅋㅋ,"[1, 12, 17, 27, 33, 41]"
힝 공부하기 싫어,"[3, 22, 26]"
와 오늘 만든 오일파스타 존맛,"[2, 40, 42]"
강아지는 뭘 먹고 그렇게 귀여울까. 하 귀여워ㅠㅠ,"[15, 16, 32]"
파가 너무 잘 썰리길래 '와 칼질이 늘긴 느는구나' 하는 순간 내 손도 잘 썰렸다. 방심은 독이다.,"[5, 9, 33]"
대한민국 칠레전 2:0 승!,"[2, 28, 32, 40, 42]"
치킨은 역시 BBQ 황금올리브 혹은 교촌 허니콤보,[24]
벌써 3번째 똑같은 동작을 하다가 허리를 삐끗했다. 앉아있는 시간이 많아서 그런걸까 아니면 내가 유리몸인걸까ㅠㅠ,"[3, 5, 10, 22, 23, 27, 36, 38, 39, 41]"
원래 여행을 좋아하지 않는 편인데 지금은 여행이 너무 가고 싶다. 특히 바다...,"[8, 28, 40, 42]"
메타버스는 조금 실망스럽다.,"[10, 23]"
"가끔은 내가 개발자와 잘 맞지 않는다는 생각이 들다가도, 꼭 개발자와 잘 맞아야 하는가 하는 생각도 든다. 안 맞으면 딴거 하지 뭐.",[24]
부캠 활동이 끝나면 한 3일 정도는 격렬하게 아무것도 안할 거다.,"[24, 27]"
이번 여름은 미치도록 더울 예정인가보다.,"[22, 41]"
제주의 가을에선 옅은 이국의 향이 났다. 돌아오기 위해 떠난 날이었다.,"[8, 14, 15]"
